"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"State"	"State Code"	"Year"	"Year Code"	"Age Group"	"Age Group Code"	Deaths	Population	Crude Rate
	"Lung and Bronchus"	"22030"	"South Dakota"	"46"	"2017"	"2017"	"80-84 years"	"80-84"	60	17036	352.2
	"Lung and Bronchus"	"22030"	"South Dakota"	"46"	"2017"	"2017"	"85+ years"	"85+"	63	20922	301.1
	"Lung and Bronchus"	"22030"	"South Dakota"	"46"	"2019"	"2019"	"55-59 years"	"55-59"	24	58707	40.9
	"Lung and Bronchus"	"22030"	"South Dakota"	"46"	"2019"	"2019"	"60-64 years "	"60-64"	62	58749	105.5
	"Lung and Bronchus"	"22030"	"South Dakota"	"46"	"2019"	"2019"	"65-69 years"	"65-69"	54	52243	103.4
	"Lung and Bronchus"	"22030"	"South Dakota"	"46"	"2019"	"2019"	"70-74 years"	"70-74"	71	37142	191.2
	"Lung and Bronchus"	"22030"	"South Dakota"	"46"	"2019"	"2019"	"75-79 years"	"75-79"	71	24399	291.0
	"Lung and Bronchus"	"22030"	"South Dakota"	"46"	"2019"	"2019"	"80-84 years"	"80-84"	65	17108	379.9
	"Lung and Bronchus"	"22030"	"South Dakota"	"46"	"2019"	"2019"	"85+ years"	"85+"	71	20902	339.7
	"Lung and Bronchus"	"22030"	"Tennessee"	"47"	"2017"	"2017"	"40-44 years"	"40-44"	28	406966	6.9
	"Lung and Bronchus"	"22030"	"Tennessee"	"47"	"2017"	"2017"	"45-49 years"	"45-49"	58	442621	13.1
	"Lung and Bronchus"	"22030"	"Tennessee"	"47"	"2017"	"2017"	"50-54 years"	"50-54"	189	448444	42.1
	"Lung and Bronchus"	"22030"	"Tennessee"	"47"	"2017"	"2017"	"55-59 years"	"55-59"	376	454035	82.8
	"Lung and Bronchus"	"22030"	"Tennessee"	"47"	"2017"	"2017"	"60-64 years "	"60-64"	533	421578	126.4
	"Lung and Bronchus"	"22030"	"Tennessee"	"47"	"2017"	"2017"	"65-69 years"	"65-69"	688	363387	189.3
	"Lung and Bronchus"	"22030"	"Tennessee"	"47"	"2017"	"2017"	"70-74 years"	"70-74"	726	281489	257.9
	"Lung and Bronchus"	"22030"	"Tennessee"	"47"	"2017"	"2017"	"75-79 years"	"75-79"	594	189168	314.0
	"Lung and Bronchus"	"22030"	"Tennessee"	"47"	"2017"	"2017"	"80-84 years"	"80-84"	413	122482	337.2
	"Lung and Bronchus"	"22030"	"Tennessee"	"47"	"2017"	"2017"	"85+ years"	"85+"	386	118615	325.4
	"Lung and Bronchus"	"22030"	"Tennessee"	"47"	"2019"	"2019"	"40-44 years"	"40-44"	21	412383	5.1
	"Lung and Bronchus"	"22030"	"Tennessee"	"47"	"2019"	"2019"	"45-49 years"	"45-49"	75	437949	17.1
	"Lung and Bronchus"	"22030"	"Tennessee"	"47"	"2019"	"2019"	"50-54 years"	"50-54"	136	433176	31.4
	"Lung and Bronchus"	"22030"	"Tennessee"	"47"	"2019"	"2019"	"55-59 years"	"55-59"	374	459940	81.3
	"Lung and Bronchus"	"22030"	"Tennessee"	"47"	"2019"	"2019"	"60-64 years "	"60-64"	553	434110	127.4
	"Lung and Bronchus"	"22030"	"Tennessee"	"47"	"2019"	"2019"	"65-69 years"	"65-69"	676	373554	181.0
	"Lung and Bronchus"	"22030"	"Tennessee"	"47"	"2019"	"2019"	"70-74 years"	"70-74"	749	308071	243.1
	"Lung and Bronchus"	"22030"	"Tennessee"	"47"	"2019"	"2019"	"75-79 years"	"75-79"	660	209305	315.3
	"Lung and Bronchus"	"22030"	"Tennessee"	"47"	"2019"	"2019"	"80-84 years"	"80-84"	430	130964	328.3
	"Lung and Bronchus"	"22030"	"Tennessee"	"47"	"2019"	"2019"	"85+ years"	"85+"	368	121987	301.7
	"Lung and Bronchus"	"22030"	"Texas"	"48"	"2017"	"2017"	"40-44 years"	"40-44"	48	1826022	2.6
	"Lung and Bronchus"	"22030"	"Texas"	"48"	"2017"	"2017"	"45-49 years"	"45-49"	127	1819660	7.0
	"Lung and Bronchus"	"22030"	"Texas"	"48"	"2017"	"2017"	"50-54 years"	"50-54"	312	1715045	18.2
	"Lung and Bronchus"	"22030"	"Texas"	"48"	"2017"	"2017"	"55-59 years"	"55-59"	757	1694487	44.7
	"Lung and Bronchus"	"22030"	"Texas"	"48"	"2017"	"2017"	"60-64 years "	"60-64"	1162	1477997	78.6
	"Lung and Bronchus"	"22030"	"Texas"	"48"	"2017"	"2017"	"65-69 years"	"65-69"	1383	1191787	116.0
	"Lung and Bronchus"	"22030"	"Texas"	"48"	"2017"	"2017"	"70-74 years"	"70-74"	1659	889228	186.6
	"Lung and Bronchus"	"22030"	"Texas"	"48"	"2017"	"2017"	"75-79 years"	"75-79"	1433	588993	243.3
	"Lung and Bronchus"	"22030"	"Texas"	"48"	"2017"	"2017"	"80-84 years"	"80-84"	1151	395891	290.7
	"Lung and Bronchus"	"22030"	"Texas"	"48"	"2017"	"2017"	"85+ years"	"85+"	1053	390046	270.0
	"Lung and Bronchus"	"22030"	"Texas"	"48"	"2019"	"2019"	"40-44 years"	"40-44"	44	1876184	2.3
	"Lung and Bronchus"	"22030"	"Texas"	"48"	"2019"	"2019"	"45-49 years"	"45-49"	89	1850542	4.8
	"Lung and Bronchus"	"22030"	"Texas"	"48"	"2019"	"2019"	"50-54 years"	"50-54"	230	1698077	13.5
	"Lung and Bronchus"	"22030"	"Texas"	"48"	"2019"	"2019"	"55-59 years"	"55-59"	614	1719371	35.7
	"Lung and Bronchus"	"22030"	"Texas"	"48"	"2019"	"2019"	"60-64 years "	"60-64"	1127	1549940	72.7
	"Lung and Bronchus"	"22030"	"Texas"	"48"	"2019"	"2019"	"65-69 years"	"65-69"	1351	1260149	107.2
	"Lung and Bronchus"	"22030"	"Texas"	"48"	"2019"	"2019"	"70-74 years"	"70-74"	1571	983694	159.7
	"Lung and Bronchus"	"22030"	"Texas"	"48"	"2019"	"2019"	"75-79 years"	"75-79"	1511	658167	229.6
	"Lung and Bronchus"	"22030"	"Texas"	"48"	"2019"	"2019"	"80-84 years"	"80-84"	1116	419389	266.1
	"Lung and Bronchus"	"22030"	"Texas"	"48"	"2019"	"2019"	"85+ years"	"85+"	1038	405114	256.2
	"Lung and Bronchus"	"22030"	"Utah"	"49"	"2017"	"2017"	"55-59 years"	"55-59"	31	154617	20.0
	"Lung and Bronchus"	"22030"	"Utah"	"49"	"2017"	"2017"	"60-64 years "	"60-64"	45	141418	31.8
	"Lung and Bronchus"	"22030"	"Utah"	"49"	"2017"	"2017"	"65-69 years"	"65-69"	81	115128	70.4
	"Lung and Bronchus"	"22030"	"Utah"	"49"	"2017"	"2017"	"70-74 years"	"70-74"	68	85294	79.7
	"Lung and Bronchus"	"22030"	"Utah"	"49"	"2017"	"2017"	"75-79 years"	"75-79"	83	57489	144.4
	"Lung and Bronchus"	"22030"	"Utah"	"49"	"2017"	"2017"	"80-84 years"	"80-84"	61	38994	156.4
	"Lung and Bronchus"	"22030"	"Utah"	"49"	"2017"	"2017"	"85+ years"	"85+"	62	36970	167.7
	"Lung and Bronchus"	"22030"	"Utah"	"49"	"2019"	"2019"	"55-59 years"	"55-59"	17	155352	10.9
	"Lung and Bronchus"	"22030"	"Utah"	"49"	"2019"	"2019"	"60-64 years "	"60-64"	58	147381	39.4
	"Lung and Bronchus"	"22030"	"Utah"	"49"	"2019"	"2019"	"65-69 years"	"65-69"	71	124015	57.3
	"Lung and Bronchus"	"22030"	"Utah"	"49"	"2019"	"2019"	"70-74 years"	"70-74"	71	95012	74.7
	"Lung and Bronchus"	"22030"	"Utah"	"49"	"2019"	"2019"	"75-79 years"	"75-79"	93	65597	141.8
	"Lung and Bronchus"	"22030"	"Utah"	"49"	"2019"	"2019"	"80-84 years"	"80-84"	70	41913	167.0
	"Lung and Bronchus"	"22030"	"Utah"	"49"	"2019"	"2019"	"85+ years"	"85+"	46	38423	119.7
	"Lung and Bronchus"	"22030"	"Vermont"	"50"	"2017"	"2017"	"55-59 years"	"55-59"	32	49420	64.8
	"Lung and Bronchus"	"22030"	"Vermont"	"50"	"2017"	"2017"	"60-64 years "	"60-64"	39	47343	82.4
	"Lung and Bronchus"	"22030"	"Vermont"	"50"	"2017"	"2017"	"65-69 years"	"65-69"	54	40676	132.8
	"Lung and Bronchus"	"22030"	"Vermont"	"50"	"2017"	"2017"	"70-74 years"	"70-74"	53	30162	175.7
	"Lung and Bronchus"	"22030"	"Vermont"	"50"	"2017"	"2017"	"75-79 years"	"75-79"	61	19062	320.0
	"Lung and Bronchus"	"22030"	"Vermont"	"50"	"2017"	"2017"	"80-84 years"	"80-84"	40	12710	314.7
	"Lung and Bronchus"	"22030"	"Vermont"	"50"	"2017"	"2017"	"85+ years"	"85+"	62	14301	433.5
	"Lung and Bronchus"	"22030"	"Vermont"	"50"	"2019"	"2019"	"55-59 years"	"55-59"	28	47419	59.0
	"Lung and Bronchus"	"22030"	"Vermont"	"50"	"2019"	"2019"	"60-64 years "	"60-64"	38	47864	79.4
	"Lung and Bronchus"	"22030"	"Vermont"	"50"	"2019"	"2019"	"65-69 years"	"65-69"	55	41988	131.0
	"Lung and Bronchus"	"22030"	"Vermont"	"50"	"2019"	"2019"	"70-74 years"	"70-74"	46	33155	138.7
	"Lung and Bronchus"	"22030"	"Vermont"	"50"	"2019"	"2019"	"75-79 years"	"75-79"	40	21853	183.0
	"Lung and Bronchus"	"22030"	"Vermont"	"50"	"2019"	"2019"	"80-84 years"	"80-84"	39	13331	292.6
	"Lung and Bronchus"	"22030"	"Vermont"	"50"	"2019"	"2019"	"85+ years"	"85+"	43	14298	300.7
	"Lung and Bronchus"	"22030"	"Virginia"	"51"	"2017"	"2017"	"45-49 years"	"45-49"	39	564614	6.9
	"Lung and Bronchus"	"22030"	"Virginia"	"51"	"2017"	"2017"	"50-54 years"	"50-54"	120	581849	20.6
	"Lung and Bronchus"	"22030"	"Virginia"	"51"	"2017"	"2017"	"55-59 years"	"55-59"	327	581268	56.3
	"Lung and Bronchus"	"22030"	"Virginia"	"51"	"2017"	"2017"	"60-64 years "	"60-64"	487	513088	94.9
	"Lung and Bronchus"	"22030"	"Virginia"	"51"	"2017"	"2017"	"65-69 years"	"65-69"	583	428901	135.9
	"Lung and Bronchus"	"22030"	"Virginia"	"51"	"2017"	"2017"	"70-74 years"	"70-74"	627	330953	189.5
	"Lung and Bronchus"	"22030"	"Virginia"	"51"	"2017"	"2017"	"75-79 years"	"75-79"	590	219718	268.5
	"Lung and Bronchus"	"22030"	"Virginia"	"51"	"2017"	"2017"	"80-84 years"	"80-84"	434	144405	300.5
	"Lung and Bronchus"	"22030"	"Virginia"	"51"	"2017"	"2017"	"85+ years"	"85+"	482	148570	324.4
	"Lung and Bronchus"	"22030"	"Virginia"	"51"	"2019"	"2019"	"45-49 years"	"45-49"	46	548294	8.4
	"Lung and Bronchus"	"22030"	"Virginia"	"51"	"2019"	"2019"	"50-54 years"	"50-54"	124	553215	22.4
	"Lung and Bronchus"	"22030"	"Virginia"	"51"	"2019"	"2019"	"55-59 years"	"55-59"	300	584742	51.3
	"Lung and Bronchus"	"22030"	"Virginia"	"51"	"2019"	"2019"	"60-64 years "	"60-64"	422	530134	79.6
	"Lung and Bronchus"	"22030"	"Virginia"	"51"	"2019"	"2019"	"65-69 years"	"65-69"	523	441587	118.4
	"Lung and Bronchus"	"22030"	"Virginia"	"51"	"2019"	"2019"	"70-74 years"	"70-74"	631	361651	174.5
	"Lung and Bronchus"	"22030"	"Virginia"	"51"	"2019"	"2019"	"75-79 years"	"75-79"	597	247022	241.7
	"Lung and Bronchus"	"22030"	"Virginia"	"51"	"2019"	"2019"	"80-84 years"	"80-84"	450	155293	289.8
	"Lung and Bronchus"	"22030"	"Virginia"	"51"	"2019"	"2019"	"85+ years"	"85+"	451	154126	292.6
	"Lung and Bronchus"	"22030"	"Washington"	"53"	"2017"	"2017"	"45-49 years"	"45-49"	29	476649	6.1
	"Lung and Bronchus"	"22030"	"Washington"	"53"	"2017"	"2017"	"50-54 years"	"50-54"	97	466708	20.8
	"Lung and Bronchus"	"22030"	"Washington"	"53"	"2017"	"2017"	"55-59 years"	"55-59"	225	492419	45.7
	"Lung and Bronchus"	"22030"	"Washington"	"53"	"2017"	"2017"	"60-64 years "	"60-64"	354	464006	76.3
	"Lung and Bronchus"	"22030"	"Washington"	"53"	"2017"	"2017"	"65-69 years"	"65-69"	434	391335	110.9
	"Lung and Bronchus"	"22030"	"Washington"	"53"	"2017"	"2017"	"70-74 years"	"70-74"	516	290623	177.5
	"Lung and Bronchus"	"22030"	"Washington"	"53"	"2017"	"2017"	"75-79 years"	"75-79"	475	183422	259.0
	"Lung and Bronchus"	"22030"	"Washington"	"53"	"2017"	"2017"	"80-84 years"	"80-84"	372	118884	312.9
	"Lung and Bronchus"	"22030"	"Washington"	"53"	"2017"	"2017"	"85+ years"	"85+"	414	131748	314.2
	"Lung and Bronchus"	"22030"	"Washington"	"53"	"2019"	"2019"	"45-49 years"	"45-49"	30	467242	6.4
	"Lung and Bronchus"	"22030"	"Washington"	"53"	"2019"	"2019"	"50-54 years"	"50-54"	66	456172	14.5
	"Lung and Bronchus"	"22030"	"Washington"	"53"	"2019"	"2019"	"55-59 years"	"55-59"	194	488580	39.7
	"Lung and Bronchus"	"22030"	"Washington"	"53"	"2019"	"2019"	"60-64 years "	"60-64"	345	471429	73.2
	"Lung and Bronchus"	"22030"	"Washington"	"53"	"2019"	"2019"	"65-69 years"	"65-69"	411	410032	100.2
	"Lung and Bronchus"	"22030"	"Washington"	"53"	"2019"	"2019"	"70-74 years"	"70-74"	506	322669	156.8
	"Lung and Bronchus"	"22030"	"Washington"	"53"	"2019"	"2019"	"75-79 years"	"75-79"	477	210378	226.7
	"Lung and Bronchus"	"22030"	"Washington"	"53"	"2019"	"2019"	"80-84 years"	"80-84"	398	128599	309.5
	"Lung and Bronchus"	"22030"	"Washington"	"53"	"2019"	"2019"	"85+ years"	"85+"	397	134142	296.0
	"Lung and Bronchus"	"22030"	"West Virginia"	"54"	"2017"	"2017"	"45-49 years"	"45-49"	17	117795	14.4
	"Lung and Bronchus"	"22030"	"West Virginia"	"54"	"2017"	"2017"	"50-54 years"	"50-54"	35	121381	28.8
	"Lung and Bronchus"	"22030"	"West Virginia"	"54"	"2017"	"2017"	"55-59 years"	"55-59"	127	131196	96.8
	"Lung and Bronchus"	"22030"	"West Virginia"	"54"	"2017"	"2017"	"60-64 years "	"60-64"	185	130665	141.6
	"Lung and Bronchus"	"22030"	"West Virginia"	"54"	"2017"	"2017"	"65-69 years"	"65-69"	246	119918	205.1
	"Lung and Bronchus"	"22030"	"West Virginia"	"54"	"2017"	"2017"	"70-74 years"	"70-74"	239	88895	268.9
	"Lung and Bronchus"	"22030"	"West Virginia"	"54"	"2017"	"2017"	"75-79 years"	"75-79"	209	61830	338.0
	"Lung and Bronchus"	"22030"	"West Virginia"	"54"	"2017"	"2017"	"80-84 years"	"80-84"	158	41576	380.0
	"Lung and Bronchus"	"22030"	"West Virginia"	"54"	"2017"	"2017"	"85+ years"	"85+"	115	40697	282.6
	"Lung and Bronchus"	"22030"	"West Virginia"	"54"	"2019"	"2019"	"45-49 years"	"45-49"	25	114285	21.9
	"Lung and Bronchus"	"22030"	"West Virginia"	"54"	"2019"	"2019"	"50-54 years"	"50-54"	49	115021	42.6
	"Lung and Bronchus"	"22030"	"West Virginia"	"54"	"2019"	"2019"	"55-59 years"	"55-59"	118	124856	94.5
	"Lung and Bronchus"	"22030"	"West Virginia"	"54"	"2019"	"2019"	"60-64 years "	"60-64"	202	129574	155.9
	"Lung and Bronchus"	"22030"	"West Virginia"	"54"	"2019"	"2019"	"65-69 years"	"65-69"	218	119246	182.8
	"Lung and Bronchus"	"22030"	"West Virginia"	"54"	"2019"	"2019"	"70-74 years"	"70-74"	221	98208	225.0
	"Lung and Bronchus"	"22030"	"West Virginia"	"54"	"2019"	"2019"	"75-79 years"	"75-79"	215	65694	327.3
	"Lung and Bronchus"	"22030"	"West Virginia"	"54"	"2019"	"2019"	"80-84 years"	"80-84"	160	43884	364.6
	"Lung and Bronchus"	"22030"	"West Virginia"	"54"	"2019"	"2019"	"85+ years"	"85+"	90	40592	221.7
	"Lung and Bronchus"	"22030"	"Wisconsin"	"55"	"2017"	"2017"	"45-49 years"	"45-49"	35	360302	9.7
	"Lung and Bronchus"	"22030"	"Wisconsin"	"55"	"2017"	"2017"	"50-54 years"	"50-54"	111	398537	27.9
	"Lung and Bronchus"	"22030"	"Wisconsin"	"55"	"2017"	"2017"	"55-59 years"	"55-59"	228	428086	53.3
	"Lung and Bronchus"	"22030"	"Wisconsin"	"55"	"2017"	"2017"	"60-64 years "	"60-64"	330	386775	85.3
	"Lung and Bronchus"	"22030"	"Wisconsin"	"55"	"2017"	"2017"	"65-69 years"	"65-69"	441	320649	137.5
	"Lung and Bronchus"	"22030"	"Wisconsin"	"55"	"2017"	"2017"	"70-74 years"	"70-74"	448	231035	193.9
	"Lung and Bronchus"	"22030"	"Wisconsin"	"55"	"2017"	"2017"	"75-79 years"	"75-79"	483	159372	303.1
	"Lung and Bronchus"	"22030"	"Wisconsin"	"55"	"2017"	"2017"	"80-84 years"	"80-84"	345	112851	305.7
	"Lung and Bronchus"	"22030"	"Wisconsin"	"55"	"2017"	"2017"	"85+ years"	"85+"	364	128558	283.1
	"Lung and Bronchus"	"22030"	"Wisconsin"	"55"	"2019"	"2019"	"45-49 years"	"45-49"	30	343004	8.7
	"Lung and Bronchus"	"22030"	"Wisconsin"	"55"	"2019"	"2019"	"50-54 years"	"50-54"	73	372141	19.6
	"Lung and Bronchus"	"22030"	"Wisconsin"	"55"	"2019"	"2019"	"55-59 years"	"55-59"	212	422318	50.2
	"Lung and Bronchus"	"22030"	"Wisconsin"	"55"	"2019"	"2019"	"60-64 years "	"60-64"	313	400821	78.1
	"Lung and Bronchus"	"22030"	"Wisconsin"	"55"	"2019"	"2019"	"65-69 years"	"65-69"	405	338749	119.6
	"Lung and Bronchus"	"22030"	"Wisconsin"	"55"	"2019"	"2019"	"70-74 years"	"70-74"	486	256158	189.7
	"Lung and Bronchus"	"22030"	"Wisconsin"	"55"	"2019"	"2019"	"75-79 years"	"75-79"	419	174797	239.7
	"Lung and Bronchus"	"22030"	"Wisconsin"	"55"	"2019"	"2019"	"80-84 years"	"80-84"	385	118388	325.2
	"Lung and Bronchus"	"22030"	"Wisconsin"	"55"	"2019"	"2019"	"85+ years"	"85+"	376	126864	296.4
	"Lung and Bronchus"	"22030"	"Wyoming"	"56"	"2017"	"2017"	"55-59 years"	"55-59"	19	40430	47.0
	"Lung and Bronchus"	"22030"	"Wyoming"	"56"	"2017"	"2017"	"60-64 years "	"60-64"	27	40168	67.2
	"Lung and Bronchus"	"22030"	"Wyoming"	"56"	"2017"	"2017"	"65-69 years"	"65-69"	29	32636	88.9
	"Lung and Bronchus"	"22030"	"Wyoming"	"56"	"2017"	"2017"	"70-74 years"	"70-74"	43	23309	184.5
	"Lung and Bronchus"	"22030"	"Wyoming"	"56"	"2017"	"2017"	"75-79 years"	"75-79"	35	15216	230.0
	"Lung and Bronchus"	"22030"	"Wyoming"	"56"	"2017"	"2017"	"80-84 years"	"80-84"	24	9956	241.1
	"Lung and Bronchus"	"22030"	"Wyoming"	"56"	"2017"	"2017"	"85+ years"	"85+"	29	10839	267.6
	"Lung and Bronchus"	"22030"	"Wyoming"	"56"	"2019"	"2019"	"60-64 years "	"60-64"	29	40515	71.6
	"Lung and Bronchus"	"22030"	"Wyoming"	"56"	"2019"	"2019"	"65-69 years"	"65-69"	32	34905	91.7
	"Lung and Bronchus"	"22030"	"Wyoming"	"56"	"2019"	"2019"	"70-74 years"	"70-74"	48	26216	183.1
	"Lung and Bronchus"	"22030"	"Wyoming"	"56"	"2019"	"2019"	"75-79 years"	"75-79"	42	17042	246.4
	"Lung and Bronchus"	"22030"	"Wyoming"	"56"	"2019"	"2019"	"80-84 years"	"80-84"	28	10711	261.4
	"Lung and Bronchus"	"22030"	"Wyoming"	"56"	"2019"	"2019"	"85+ years"	"85+"	34	11043	307.9
	"Melanoma of the Skin"	"25010"	"Alabama"	"01"	"2017"	"2017"	"55-59 years"	"55-59"	17	337496	5.0
	"Melanoma of the Skin"	"25010"	"Alabama"	"01"	"2017"	"2017"	"65-69 years"	"65-69"	22	268940	8.2
	"Melanoma of the Skin"	"25010"	"Alabama"	"01"	"2017"	"2017"	"75-79 years"	"75-79"	22	143258	15.4
	"Melanoma of the Skin"	"25010"	"Alabama"	"01"	"2017"	"2017"	"85+ years"	"85+"	18	89305	20.2
	"Melanoma of the Skin"	"25010"	"Alabama"	"01"	"2019"	"2019"	"65-69 years"	"65-69"	16	275993	5.8
	"Melanoma of the Skin"	"25010"	"Alabama"	"01"	"2019"	"2019"	"70-74 years"	"70-74"	19	226442	8.4
	"Melanoma of the Skin"	"25010"	"Arizona"	"04"	"2017"	"2017"	"65-69 years"	"65-69"	26	382866	6.8
	"Melanoma of the Skin"	"25010"	"Arizona"	"04"	"2017"	"2017"	"70-74 years"	"70-74"	35	320318	10.9
	"Melanoma of the Skin"	"25010"	"Arizona"	"04"	"2017"	"2017"	"75-79 years"	"75-79"	26	222080	11.7
	"Melanoma of the Skin"	"25010"	"Arizona"	"04"	"2017"	"2017"	"85+ years"	"85+"	32	138496	23.1
	"Melanoma of the Skin"	"25010"	"Arizona"	"04"	"2019"	"2019"	"55-59 years"	"55-59"	20	446758	4.5
	"Melanoma of the Skin"	"25010"	"Arizona"	"04"	"2019"	"2019"	"60-64 years "	"60-64"	19	433564	4.4
	"Melanoma of the Skin"	"25010"	"Arizona"	"04"	"2019"	"2019"	"65-69 years"	"65-69"	28	399238	7.0
	"Melanoma of the Skin"	"25010"	"Arizona"	"04"	"2019"	"2019"	"70-74 years"	"70-74"	26	355076	7.3
	"Melanoma of the Skin"	"25010"	"Arizona"	"04"	"2019"	"2019"	"75-79 years"	"75-79"	32	254113	12.6
	"Melanoma of the Skin"	"25010"	"Arizona"	"04"	"2019"	"2019"	"80-84 years"	"80-84"	32	159618	20.0
	"Melanoma of the Skin"	"25010"	"Arizona"	"04"	"2019"	"2019"	"85+ years"	"85+"	29	147743	19.6
	"Melanoma of the Skin"	"25010"	"California"	"06"	"2017"	"2017"	"40-44 years"	"40-44"	21	2489386	0.8
	"Melanoma of the Skin"	"25010"	"California"	"06"	"2017"	"2017"	"50-54 years"	"50-54"	36	2531978	1.4
	"Melanoma of the Skin"	"25010"	"California"	"06"	"2017"	"2017"	"55-59 years"	"55-59"	63	2508821	2.5
	"Melanoma of the Skin"	"25010"	"California"	"06"	"2017"	"2017"	"60-64 years "	"60-64"	97	2216421	4.4
	"Melanoma of the Skin"	"25010"	"California"	"06"	"2017"	"2017"	"65-69 years"	"65-69"	105	1813150	5.8
	"Melanoma of the Skin"	"25010"	"California"	"06"	"2017"	"2017"	"70-74 years"	"70-74"	112	1362501	8.2
	"Melanoma of the Skin"	"25010"	"California"	"06"	"2017"	"2017"	"75-79 years"	"75-79"	94	925884	10.2
	"Melanoma of the Skin"	"25010"	"California"	"06"	"2017"	"2017"	"80-84 years"	"80-84"	100	646733	15.5
	"Melanoma of the Skin"	"25010"	"California"	"06"	"2017"	"2017"	"85+ years"	"85+"	156	728202	21.4
	"Melanoma of the Skin"	"25010"	"California"	"06"	"2019"	"2019"	"40-44 years"	"40-44"	17	2496802	0.7
	"Melanoma of the Skin"	"25010"	"California"	"06"	"2019"	"2019"	"45-49 years"	"45-49"	28	2510078	1.1
	"Melanoma of the Skin"	"25010"	"California"	"06"	"2019"	"2019"	"50-54 years"	"50-54"	32	2458499	1.3
	"Melanoma of the Skin"	"25010"	"California"	"06"	"2019"	"2019"	"55-59 years"	"55-59"	57	2503819	2.3
	"Melanoma of the Skin"	"25010"	"California"	"06"	"2019"	"2019"	"60-64 years "	"60-64"	73	2273197	3.2
	"Melanoma of the Skin"	"25010"	"California"	"06"	"2019"	"2019"	"65-69 years"	"65-69"	100	1881969	5.3
	"Melanoma of the Skin"	"25010"	"California"	"06"	"2019"	"2019"	"70-74 years"	"70-74"	116	1491188	7.8
	"Melanoma of the Skin"	"25010"	"California"	"06"	"2019"	"2019"	"75-79 years"	"75-79"	109	1014672	10.7
	"Melanoma of the Skin"	"25010"	"California"	"06"	"2019"	"2019"	"80-84 years"	"80-84"	103	682562	15.1
	"Melanoma of the Skin"	"25010"	"California"	"06"	"2019"	"2019"	"85+ years"	"85+"	165	749009	22.0
	"Melanoma of the Skin"	"25010"	"Colorado"	"08"	"2017"	"2017"	"55-59 years"	"55-59"	21	368802	5.7
	"Melanoma of the Skin"	"25010"	"Colorado"	"08"	"2017"	"2017"	"65-69 years"	"65-69"	20	280099	7.1
	"Melanoma of the Skin"	"25010"	"Colorado"	"08"	"2017"	"2017"	"70-74 years"	"70-74"	26	199366	13.0
	"Melanoma of the Skin"	"25010"	"Colorado"	"08"	"2017"	"2017"	"85+ years"	"85+"	26	86748	30.0
	"Melanoma of the Skin"	"25010"	"Colorado"	"08"	"2019"	"2019"	"55-59 years"	"55-59"	16	364757	4.4
	"Melanoma of the Skin"	"25010"	"Colorado"	"08"	"2019"	"2019"	"65-69 years"	"65-69"	23	296415	7.8
	"Melanoma of the Skin"	"25010"	"Colorado"	"08"	"2019"	"2019"	"70-74 years"	"70-74"	21	226127	9.3
	"Melanoma of the Skin"	"25010"	"Colorado"	"08"	"2019"	"2019"	"75-79 years"	"75-79"	17	142262	11.9
	"Melanoma of the Skin"	"25010"	"Colorado"	"08"	"2019"	"2019"	"85+ years"	"85+"	41	90002	45.6
	"Melanoma of the Skin"	"25010"	"Connecticut"	"09"	"2017"	"2017"	"85+ years"	"85+"	22	91713	24.0
	"Melanoma of the Skin"	"25010"	"Connecticut"	"09"	"2019"	"2019"	"85+ years"	"85+"	27	90945	29.7
	"Melanoma of the Skin"	"25010"	"Florida"	"12"	"2017"	"2017"	"45-49 years"	"45-49"	27	1344776	2.0
	"Melanoma of the Skin"	"25010"	"Florida"	"12"	"2017"	"2017"	"50-54 years"	"50-54"	28	1416439	2.0
	"Melanoma of the Skin"	"25010"	"Florida"	"12"	"2017"	"2017"	"55-59 years"	"55-59"	39	1444191	2.7
	"Melanoma of the Skin"	"25010"	"Florida"	"12"	"2017"	"2017"	"60-64 years "	"60-64"	60	1341105	4.5
	"Melanoma of the Skin"	"25010"	"Florida"	"12"	"2017"	"2017"	"65-69 years"	"65-69"	77	1249855	6.2
	"Melanoma of the Skin"	"25010"	"Florida"	"12"	"2017"	"2017"	"70-74 years"	"70-74"	79	1081387	7.3
	"Melanoma of the Skin"	"25010"	"Florida"	"12"	"2017"	"2017"	"75-79 years"	"75-79"	90	780154	11.5
	"Melanoma of the Skin"	"25010"	"Florida"	"12"	"2017"	"2017"	"80-84 years"	"80-84"	72	536882	13.4
	"Melanoma of the Skin"	"25010"	"Florida"	"12"	"2017"	"2017"	"85+ years"	"85+"	123	560425	21.9
	"Melanoma of the Skin"	"25010"	"Florida"	"12"	"2019"	"2019"	"40-44 years"	"40-44"	16	1264424	1.3
	"Melanoma of the Skin"	"25010"	"Florida"	"12"	"2019"	"2019"	"50-54 years"	"50-54"	29	1370147	2.1
	"Melanoma of the Skin"	"25010"	"Florida"	"12"	"2019"	"2019"	"55-59 years"	"55-59"	40	1489467	2.7
	"Melanoma of the Skin"	"25010"	"Florida"	"12"	"2019"	"2019"	"60-64 years "	"60-64"	50	1408052	3.6
	"Melanoma of the Skin"	"25010"	"Florida"	"12"	"2019"	"2019"	"65-69 years"	"65-69"	71	1291366	5.5
