"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"State"	"State Code"	"Year"	"Year Code"	"Sex"	"Sex Code"	Deaths	Population	Age-Adjusted Rate	Crude Rate
	"Lung and Bronchus"	"22030"	"Mississippi"	"28"	"2017"	"2017"	"Female"	"F"	750	1539672	36.8	48.7
	"Lung and Bronchus"	"22030"	"Mississippi"	"28"	"2017"	"2017"	"Male"	"M"	1054	1451002	66.4	72.6
	"Lung and Bronchus"	"22030"	"Mississippi"	"28"	"2019"	"2019"	"Female"	"F"	751	1534587	35.9	48.9
	"Lung and Bronchus"	"22030"	"Mississippi"	"28"	"2019"	"2019"	"Male"	"M"	1115	1443640	67.4	77.2
	"Lung and Bronchus"	"22030"	"Missouri"	"29"	"2017"	"2017"	"Female"	"F"	1647	3111381	37.8	52.9
	"Lung and Bronchus"	"22030"	"Missouri"	"29"	"2017"	"2017"	"Male"	"M"	2043	3000001	58.4	68.1
	"Lung and Bronchus"	"22030"	"Missouri"	"29"	"2019"	"2019"	"Female"	"F"	1626	3127846	35.9	52.0
	"Lung and Bronchus"	"22030"	"Missouri"	"29"	"2019"	"2019"	"Male"	"M"	1851	3012629	50.1	61.4
	"Lung and Bronchus"	"22030"	"Montana"	"30"	"2017"	"2017"	"Female"	"F"	245	523400	32.6	46.8
	"Lung and Bronchus"	"22030"	"Montana"	"30"	"2017"	"2017"	"Male"	"M"	220	530462	33.1	41.5
	"Lung and Bronchus"	"22030"	"Montana"	"30"	"2019"	"2019"	"Female"	"F"	192	531486	23.9	36.1
	"Lung and Bronchus"	"22030"	"Montana"	"30"	"2019"	"2019"	"Male"	"M"	217	538637	30.7	40.3
	"Lung and Bronchus"	"22030"	"Nebraska"	"31"	"2017"	"2017"	"Female"	"F"	379	960422	30.7	39.5
	"Lung and Bronchus"	"22030"	"Nebraska"	"31"	"2017"	"2017"	"Male"	"M"	436	956576	42.3	45.6
	"Lung and Bronchus"	"22030"	"Nebraska"	"31"	"2019"	"2019"	"Female"	"F"	354	967601	27.7	36.6
	"Lung and Bronchus"	"22030"	"Nebraska"	"31"	"2019"	"2019"	"Male"	"M"	425	964970	39.1	44.0
	"Lung and Bronchus"	"22030"	"Nevada"	"32"	"2017"	"2017"	"Female"	"F"	627	1480860	35.1	42.3
	"Lung and Bronchus"	"22030"	"Nevada"	"32"	"2017"	"2017"	"Male"	"M"	685	1491237	42.1	45.9
	"Lung and Bronchus"	"22030"	"Nevada"	"32"	"2019"	"2019"	"Female"	"F"	598	1541266	30.3	38.8
	"Lung and Bronchus"	"22030"	"Nevada"	"32"	"2019"	"2019"	"Male"	"M"	655	1549505	36.9	42.3
	"Lung and Bronchus"	"22030"	"New Hampshire"	"33"	"2017"	"2017"	"Female"	"F"	340	681670	35.1	49.9
	"Lung and Bronchus"	"22030"	"New Hampshire"	"33"	"2017"	"2017"	"Male"	"M"	360	668725	43.5	53.8
	"Lung and Bronchus"	"22030"	"New Hampshire"	"33"	"2019"	"2019"	"Female"	"F"	319	686814	30.9	46.4
	"Lung and Bronchus"	"22030"	"New Hampshire"	"33"	"2019"	"2019"	"Male"	"M"	341	673969	39.0	50.6
	"Lung and Bronchus"	"22030"	"New Jersey"	"34"	"2017"	"2017"	"Female"	"F"	1801	4547537	28.3	39.6
	"Lung and Bronchus"	"22030"	"New Jersey"	"34"	"2017"	"2017"	"Male"	"M"	1761	4340610	36.6	40.6
	"Lung and Bronchus"	"22030"	"New Jersey"	"34"	"2019"	"2019"	"Female"	"F"	1651	4545698	24.9	36.3
	"Lung and Bronchus"	"22030"	"New Jersey"	"34"	"2019"	"2019"	"Male"	"M"	1675	4345560	33.8	38.5
	"Lung and Bronchus"	"22030"	"New Mexico"	"35"	"2017"	"2017"	"Female"	"F"	308	1056754	21.6	29.1
	"Lung and Bronchus"	"22030"	"New Mexico"	"35"	"2017"	"2017"	"Male"	"M"	370	1036090	30.9	35.7
	"Lung and Bronchus"	"22030"	"New Mexico"	"35"	"2019"	"2019"	"Female"	"F"	287	1060654	18.7	27.1
	"Lung and Bronchus"	"22030"	"New Mexico"	"35"	"2019"	"2019"	"Male"	"M"	343	1038980	26.7	33.0
	"Lung and Bronchus"	"22030"	"New York"	"36"	"2017"	"2017"	"Female"	"F"	3831	10080806	27.3	38.0
	"Lung and Bronchus"	"22030"	"New York"	"36"	"2017"	"2017"	"Male"	"M"	3990	9513043	37.3	41.9
	"Lung and Bronchus"	"22030"	"New York"	"36"	"2019"	"2019"	"Female"	"F"	3638	10012065	24.9	36.3
	"Lung and Bronchus"	"22030"	"New York"	"36"	"2019"	"2019"	"Male"	"M"	3734	9451066	33.5	39.5
	"Lung and Bronchus"	"22030"	"North Carolina"	"37"	"2017"	"2017"	"Female"	"F"	2297	5274812	32.7	43.5
	"Lung and Bronchus"	"22030"	"North Carolina"	"37"	"2017"	"2017"	"Male"	"M"	2989	5000946	54.3	59.8
	"Lung and Bronchus"	"22030"	"North Carolina"	"37"	"2019"	"2019"	"Female"	"F"	2321	5393755	30.9	43.0
	"Lung and Bronchus"	"22030"	"North Carolina"	"37"	"2019"	"2019"	"Male"	"M"	2788	5107629	47.0	54.6
	"Lung and Bronchus"	"22030"	"North Dakota"	"38"	"2017"	"2017"	"Female"	"F"	125	369032	26.4	33.9
	"Lung and Bronchus"	"22030"	"North Dakota"	"38"	"2017"	"2017"	"Male"	"M"	185	387723	45.3	47.7
	"Lung and Bronchus"	"22030"	"North Dakota"	"38"	"2019"	"2019"	"Female"	"F"	144	372678	27.9	38.6
	"Lung and Bronchus"	"22030"	"North Dakota"	"38"	"2019"	"2019"	"Male"	"M"	173	391046	40.0	44.2
	"Lung and Bronchus"	"22030"	"Ohio"	"39"	"2017"	"2017"	"Female"	"F"	3027	5949075	36.3	50.9
	"Lung and Bronchus"	"22030"	"Ohio"	"39"	"2017"	"2017"	"Male"	"M"	3769	5716631	55.9	65.9
	"Lung and Bronchus"	"22030"	"Ohio"	"39"	"2019"	"2019"	"Female"	"F"	2976	5962634	34.2	49.9
	"Lung and Bronchus"	"22030"	"Ohio"	"39"	"2019"	"2019"	"Male"	"M"	3473	5733873	49.9	60.6
	"Lung and Bronchus"	"22030"	"Oklahoma"	"40"	"2017"	"2017"	"Female"	"F"	944	1984912	37.1	47.6
	"Lung and Bronchus"	"22030"	"Oklahoma"	"40"	"2017"	"2017"	"Male"	"M"	1266	1948690	59.4	65.0
	"Lung and Bronchus"	"22030"	"Oklahoma"	"40"	"2019"	"2019"	"Female"	"F"	1016	1999160	37.9	50.8
	"Lung and Bronchus"	"22030"	"Oklahoma"	"40"	"2019"	"2019"	"Male"	"M"	1266	1961516	57.4	64.5
	"Lung and Bronchus"	"22030"	"Oregon"	"41"	"2017"	"2017"	"Female"	"F"	943	2091485	32.8	45.1
	"Lung and Bronchus"	"22030"	"Oregon"	"41"	"2017"	"2017"	"Male"	"M"	922	2055809	38.0	44.8
	"Lung and Bronchus"	"22030"	"Oregon"	"41"	"2019"	"2019"	"Female"	"F"	895	2126006	29.0	42.1
	"Lung and Bronchus"	"22030"	"Oregon"	"41"	"2019"	"2019"	"Male"	"M"	886	2090110	34.1	42.4
	"Lung and Bronchus"	"22030"	"Pennsylvania"	"42"	"2017"	"2017"	"Female"	"F"	3284	6528507	33.2	50.3
	"Lung and Bronchus"	"22030"	"Pennsylvania"	"42"	"2017"	"2017"	"Male"	"M"	3626	6266172	46.4	57.9
	"Lung and Bronchus"	"22030"	"Pennsylvania"	"42"	"2019"	"2019"	"Female"	"F"	3085	6526489	30.0	47.3
	"Lung and Bronchus"	"22030"	"Pennsylvania"	"42"	"2019"	"2019"	"Male"	"M"	3496	6272394	43.3	55.7
	"Lung and Bronchus"	"22030"	"Rhode Island"	"44"	"2017"	"2017"	"Female"	"F"	275	542884	34.8	50.7
	"Lung and Bronchus"	"22030"	"Rhode Island"	"44"	"2017"	"2017"	"Male"	"M"	281	513670	47.2	54.7
	"Lung and Bronchus"	"22030"	"Rhode Island"	"44"	"2019"	"2019"	"Female"	"F"	278	543197	34.0	51.2
	"Lung and Bronchus"	"22030"	"Rhode Island"	"44"	"2019"	"2019"	"Male"	"M"	253	514961	40.0	49.1
	"Lung and Bronchus"	"22030"	"South Carolina"	"45"	"2017"	"2017"	"Female"	"F"	1144	2588374	31.8	44.2
	"Lung and Bronchus"	"22030"	"South Carolina"	"45"	"2017"	"2017"	"Male"	"M"	1556	2438728	53.1	63.8
	"Lung and Bronchus"	"22030"	"South Carolina"	"45"	"2019"	"2019"	"Female"	"F"	1141	2659704	29.4	42.9
	"Lung and Bronchus"	"22030"	"South Carolina"	"45"	"2019"	"2019"	"Male"	"M"	1530	2497998	48.5	61.2
	"Lung and Bronchus"	"22030"	"South Dakota"	"46"	"2017"	"2017"	"Female"	"F"	202	432891	34.9	46.7
	"Lung and Bronchus"	"22030"	"South Dakota"	"46"	"2017"	"2017"	"Male"	"M"	220	440841	44.0	49.9
	"Lung and Bronchus"	"22030"	"South Dakota"	"46"	"2019"	"2019"	"Female"	"F"	218	439553	35.0	49.6
	"Lung and Bronchus"	"22030"	"South Dakota"	"46"	"2019"	"2019"	"Male"	"M"	212	447574	40.0	47.4
	"Lung and Bronchus"	"22030"	"Tennessee"	"47"	"2017"	"2017"	"Female"	"F"	1698	3438006	36.8	49.4
	"Lung and Bronchus"	"22030"	"Tennessee"	"47"	"2017"	"2017"	"Male"	"M"	2303	3276742	61.3	70.3
	"Lung and Bronchus"	"22030"	"Tennessee"	"47"	"2019"	"2019"	"Female"	"F"	1766	3498429	36.1	50.5
	"Lung and Bronchus"	"22030"	"Tennessee"	"47"	"2019"	"2019"	"Male"	"M"	2285	3331896	57.7	68.6
	"Lung and Bronchus"	"22030"	"Texas"	"48"	"2017"	"2017"	"Female"	"F"	4099	14238026	27.0	28.8
	"Lung and Bronchus"	"22030"	"Texas"	"48"	"2017"	"2017"	"Male"	"M"	5010	14052998	40.7	35.7
	"Lung and Bronchus"	"22030"	"Texas"	"48"	"2019"	"2019"	"Female"	"F"	3820	14591903	23.8	26.2
	"Lung and Bronchus"	"22030"	"Texas"	"48"	"2019"	"2019"	"Male"	"M"	4903	14394891	37.2	34.1
	"Lung and Bronchus"	"22030"	"Utah"	"49"	"2017"	"2017"	"Female"	"F"	201	1540562	14.3	13.0
	"Lung and Bronchus"	"22030"	"Utah"	"49"	"2017"	"2017"	"Male"	"M"	250	1562978	20.7	16.0
	"Lung and Bronchus"	"22030"	"Utah"	"49"	"2019"	"2019"	"Female"	"F"	197	1589845	13.1	12.4
	"Lung and Bronchus"	"22030"	"Utah"	"49"	"2019"	"2019"	"Male"	"M"	247	1613538	18.8	15.3
	"Lung and Bronchus"	"22030"	"Vermont"	"50"	"2017"	"2017"	"Female"	"F"	176	316438	35.7	55.6
	"Lung and Bronchus"	"22030"	"Vermont"	"50"	"2017"	"2017"	"Male"	"M"	180	308694	45.4	58.3
	"Lung and Bronchus"	"22030"	"Vermont"	"50"	"2019"	"2019"	"Female"	"F"	145	315738	28.8	45.9
	"Lung and Bronchus"	"22030"	"Vermont"	"50"	"2019"	"2019"	"Male"	"M"	161	308308	36.6	52.2
	"Lung and Bronchus"	"22030"	"Virginia"	"51"	"2017"	"2017"	"Female"	"F"	1662	4302531	29.7	38.6
	"Lung and Bronchus"	"22030"	"Virginia"	"51"	"2017"	"2017"	"Male"	"M"	2048	4168480	46.0	49.1
	"Lung and Bronchus"	"22030"	"Virginia"	"51"	"2019"	"2019"	"Female"	"F"	1596	4345858	27.4	36.7
	"Lung and Bronchus"	"22030"	"Virginia"	"51"	"2019"	"2019"	"Male"	"M"	1977	4210784	42.2	47.0
	"Lung and Bronchus"	"22030"	"Washington"	"53"	"2017"	"2017"	"Female"	"F"	1441	3712553	30.7	38.8
	"Lung and Bronchus"	"22030"	"Washington"	"53"	"2017"	"2017"	"Male"	"M"	1487	3715398	38.1	40.0
	"Lung and Bronchus"	"22030"	"Washington"	"53"	"2019"	"2019"	"Female"	"F"	1409	3802546	28.4	37.1
	"Lung and Bronchus"	"22030"	"Washington"	"53"	"2019"	"2019"	"Male"	"M"	1432	3811478	34.4	37.6
	"Lung and Bronchus"	"22030"	"West Virginia"	"54"	"2017"	"2017"	"Female"	"F"	585	918498	40.1	63.7
	"Lung and Bronchus"	"22030"	"West Virginia"	"54"	"2017"	"2017"	"Male"	"M"	753	900185	60.9	83.6
	"Lung and Bronchus"	"22030"	"West Virginia"	"54"	"2019"	"2019"	"Female"	"F"	570	906103	39.3	62.9
	"Lung and Bronchus"	"22030"	"West Virginia"	"54"	"2019"	"2019"	"Male"	"M"	744	889160	59.0	83.7
	"Lung and Bronchus"	"22030"	"Wisconsin"	"55"	"2017"	"2017"	"Female"	"F"	1307	2911984	32.7	44.9
	"Lung and Bronchus"	"22030"	"Wisconsin"	"55"	"2017"	"2017"	"Male"	"M"	1495	2881163	44.1	51.9
	"Lung and Bronchus"	"22030"	"Wisconsin"	"55"	"2019"	"2019"	"Female"	"F"	1298	2925732	30.9	44.4
	"Lung and Bronchus"	"22030"	"Wisconsin"	"55"	"2019"	"2019"	"Male"	"M"	1414	2898849	39.6	48.8
	"Lung and Bronchus"	"22030"	"Wyoming"	"56"	"2017"	"2017"	"Female"	"F"	99	284115	26.3	34.8
	"Lung and Bronchus"	"22030"	"Wyoming"	"56"	"2017"	"2017"	"Male"	"M"	117	295879	35.4	39.5
	"Lung and Bronchus"	"22030"	"Wyoming"	"56"	"2019"	"2019"	"Female"	"F"	102	284406	26.0	35.9
	"Lung and Bronchus"	"22030"	"Wyoming"	"56"	"2019"	"2019"	"Male"	"M"	123	295710	33.6	41.6
	"Melanoma of the Skin"	"25010"	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	41	2517486	1.3	1.6
	"Melanoma of the Skin"	"25010"	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	94	2360503	3.6	4.0
	"Melanoma of the Skin"	"25010"	"Alabama"	"01"	"2019"	"2019"	"Female"	"F"	44	2536133	1.3	1.7
	"Melanoma of the Skin"	"25010"	"Alabama"	"01"	"2019"	"2019"	"Male"	"M"	73	2371832	2.8	3.1
	"Melanoma of the Skin"	"25010"	"Arizona"	"04"	"2017"	"2017"	"Female"	"F"	61	3545316	1.4	1.7
	"Melanoma of the Skin"	"25010"	"Arizona"	"04"	"2017"	"2017"	"Male"	"M"	129	3502772	3.2	3.7
	"Melanoma of the Skin"	"25010"	"Arizona"	"04"	"2019"	"2019"	"Female"	"F"	73	3669041	1.5	2.0
	"Melanoma of the Skin"	"25010"	"Arizona"	"04"	"2019"	"2019"	"Male"	"M"	133	3622802	3.0	3.7
	"Melanoma of the Skin"	"25010"	"Arkansas"	"05"	"2017"	"2017"	"Female"	"F"	17	1527948	0.9	1.1
	"Melanoma of the Skin"	"25010"	"Arkansas"	"05"	"2017"	"2017"	"Male"	"M"	42	1475907	2.5	2.8
	"Melanoma of the Skin"	"25010"	"Arkansas"	"05"	"2019"	"2019"	"Female"	"F"	18	1538076	0.8	1.2
	"Melanoma of the Skin"	"25010"	"Arkansas"	"05"	"2019"	"2019"	"Male"	"M"	44	1482909	2.6	3.0
	"Melanoma of the Skin"	"25010"	"California"	"06"	"2017"	"2017"	"Female"	"F"	265	19783962	1.1	1.3
	"Melanoma of the Skin"	"25010"	"California"	"06"	"2017"	"2017"	"Male"	"M"	556	19553823	2.9	2.8
	"Melanoma of the Skin"	"25010"	"California"	"06"	"2019"	"2019"	"Female"	"F"	274	19829085	1.1	1.4
	"Melanoma of the Skin"	"25010"	"California"	"06"	"2019"	"2019"	"Male"	"M"	550	19608525	2.8	2.8
	"Melanoma of the Skin"	"25010"	"Colorado"	"08"	"2017"	"2017"	"Female"	"F"	65	2789649	2.0	2.3
	"Melanoma of the Skin"	"25010"	"Colorado"	"08"	"2017"	"2017"	"Male"	"M"	97	2827772	3.6	3.4
	"Melanoma of the Skin"	"25010"	"Colorado"	"08"	"2019"	"2019"	"Female"	"F"	57	2857610	1.7	2.0
	"Melanoma of the Skin"	"25010"	"Colorado"	"08"	"2019"	"2019"	"Male"	"M"	115	2900876	4.1	4.0
	"Melanoma of the Skin"	"25010"	"Connecticut"	"09"	"2017"	"2017"	"Female"	"F"	28	1831503	1.1	1.5
	"Melanoma of the Skin"	"25010"	"Connecticut"	"09"	"2017"	"2017"	"Male"	"M"	52	1743821	2.6	3.0
	"Melanoma of the Skin"	"25010"	"Connecticut"	"09"	"2019"	"2019"	"Female"	"F"	34	1826990	1.1	1.9
	"Melanoma of the Skin"	"25010"	"Connecticut"	"09"	"2019"	"2019"	"Male"	"M"	55	1739032	2.6	3.2
	"Melanoma of the Skin"	"25010"	"Delaware"	"10"	"2017"	"2017"	"Male"	"M"	24	463336	4.4	5.2
	"Melanoma of the Skin"	"25010"	"Delaware"	"10"	"2019"	"2019"	"Male"	"M"	19	472097	3.2	4.0
	"Melanoma of the Skin"	"25010"	"Florida"	"12"	"2017"	"2017"	"Female"	"F"	194	10720663	1.2	1.8
	"Melanoma of the Skin"	"25010"	"Florida"	"12"	"2017"	"2017"	"Male"	"M"	433	10256426	3.2	4.2
	"Melanoma of the Skin"	"25010"	"Florida"	"12"	"2019"	"2019"	"Female"	"F"	202	10987074	1.2	1.8
	"Melanoma of the Skin"	"25010"	"Florida"	"12"	"2019"	"2019"	"Male"	"M"	454	10504982	3.1	4.3
	"Melanoma of the Skin"	"25010"	"Georgia"	"13"	"2017"	"2017"	"Female"	"F"	72	5349075	1.2	1.3
	"Melanoma of the Skin"	"25010"	"Georgia"	"13"	"2017"	"2017"	"Male"	"M"	129	5067956	2.7	2.5
	"Melanoma of the Skin"	"25010"	"Georgia"	"13"	"2019"	"2019"	"Female"	"F"	76	5462335	1.2	1.4
	"Melanoma of the Skin"	"25010"	"Georgia"	"13"	"2019"	"2019"	"Male"	"M"	127	5165685	2.6	2.5
	"Melanoma of the Skin"	"25010"	"Hawaii"	"15"	"2017"	"2017"	"Male"	"M"	16	715536	2.0	2.2
	"Melanoma of the Skin"	"25010"	"Idaho"	"16"	"2017"	"2017"	"Female"	"F"	18	858030	1.7	2.1
	"Melanoma of the Skin"	"25010"	"Idaho"	"16"	"2017"	"2017"	"Male"	"M"	30	861715	3.3	3.5
	"Melanoma of the Skin"	"25010"	"Idaho"	"16"	"2019"	"2019"	"Female"	"F"	22	891995	2.2	2.5
	"Melanoma of the Skin"	"25010"	"Idaho"	"16"	"2019"	"2019"	"Male"	"M"	37	897065	4.0	4.1
	"Melanoma of the Skin"	"25010"	"Illinois"	"17"	"2017"	"2017"	"Female"	"F"	117	6501339	1.4	1.8
	"Melanoma of the Skin"	"25010"	"Illinois"	"17"	"2017"	"2017"	"Male"	"M"	183	6278554	2.9	2.9
	"Melanoma of the Skin"	"25010"	"Illinois"	"17"	"2019"	"2019"	"Female"	"F"	90	6443120	1.0	1.4
	"Melanoma of the Skin"	"25010"	"Illinois"	"17"	"2019"	"2019"	"Male"	"M"	176	6223897	2.5	2.8
	"Melanoma of the Skin"	"25010"	"Indiana"	"18"	"2017"	"2017"	"Female"	"F"	58	3378096	1.4	1.7
	"Melanoma of the Skin"	"25010"	"Indiana"	"18"	"2017"	"2017"	"Male"	"M"	126	3283972	3.6	3.8
	"Melanoma of the Skin"	"25010"	"Indiana"	"18"	"2019"	"2019"	"Female"	"F"	57	3411571	1.3	1.7
	"Melanoma of the Skin"	"25010"	"Indiana"	"18"	"2019"	"2019"	"Male"	"M"	124	3319439	3.4	3.7
	"Melanoma of the Skin"	"25010"	"Iowa"	"19"	"2017"	"2017"	"Female"	"F"	39	1579862	1.9	2.5
	"Melanoma of the Skin"	"25010"	"Iowa"	"19"	"2017"	"2017"	"Male"	"M"	68	1563872	3.7	4.3
	"Melanoma of the Skin"	"25010"	"Iowa"	"19"	"2019"	"2019"	"Female"	"F"	40	1586636	2.1	2.5
	"Melanoma of the Skin"	"25010"	"Iowa"	"19"	"2019"	"2019"	"Male"	"M"	70	1572960	3.7	4.5
	"Melanoma of the Skin"	"25010"	"Kansas"	"20"	"2017"	"2017"	"Female"	"F"	24	1460476	1.3	1.6
	"Melanoma of the Skin"	"25010"	"Kansas"	"20"	"2017"	"2017"	"Male"	"M"	53	1450416	3.2	3.7
	"Melanoma of the Skin"	"25010"	"Kansas"	"20"	"2019"	"2019"	"Female"	"F"	33	1462080	1.8	2.3
	"Melanoma of the Skin"	"25010"	"Kansas"	"20"	"2019"	"2019"	"Male"	"M"	46	1450555	2.7	3.2
	"Melanoma of the Skin"	"25010"	"Kentucky"	"21"	"2017"	"2017"	"Female"	"F"	54	2260311	1.8	2.4
	"Melanoma of the Skin"	"25010"	"Kentucky"	"21"	"2017"	"2017"	"Male"	"M"	92	2195279	3.8	4.2
	"Melanoma of the Skin"	"25010"	"Kentucky"	"21"	"2019"	"2019"	"Female"	"F"	49	2269036	1.6	2.2
	"Melanoma of the Skin"	"25010"	"Kentucky"	"21"	"2019"	"2019"	"Male"	"M"	78	2203309	3.2	3.5
	"Melanoma of the Skin"	"25010"	"Louisiana"	"22"	"2017"	"2017"	"Female"	"F"	19	2390634	0.6	0.8
	"Melanoma of the Skin"	"25010"	"Louisiana"	"22"	"2017"	"2017"	"Male"	"M"	58	2283039	2.6	2.5
	"Melanoma of the Skin"	"25010"	"Louisiana"	"22"	"2019"	"2019"	"Female"	"F"	34	2385969	1.1	1.4
	"Melanoma of the Skin"	"25010"	"Louisiana"	"22"	"2019"	"2019"	"Male"	"M"	49	2272316	2.1	2.2
	"Melanoma of the Skin"	"25010"	"Maine"	"23"	"2017"	"2017"	"Female"	"F"	19	681559	2.0	2.8
	"Melanoma of the Skin"	"25010"	"Maine"	"23"	"2017"	"2017"	"Male"	"M"	27	654184	2.9	4.1
	"Melanoma of the Skin"	"25010"	"Maine"	"23"	"2019"	"2019"	"Female"	"F"	24	686674	2.2	3.5
	"Melanoma of the Skin"	"25010"	"Maine"	"23"	"2019"	"2019"	"Male"	"M"	24	659096	2.7	3.6
	"Melanoma of the Skin"	"25010"	"Maryland"	"24"	"2017"	"2017"	"Female"	"F"	50	3106751	1.3	1.6
	"Melanoma of the Skin"	"25010"	"Maryland"	"24"	"2017"	"2017"	"Male"	"M"	62	2921435	2.1	2.1
	"Melanoma of the Skin"	"25010"	"Maryland"	"24"	"2019"	"2019"	"Female"	"F"	44	3122480	1.1	1.4
	"Melanoma of the Skin"	"25010"	"Maryland"	"24"	"2019"	"2019"	"Male"	"M"	99	2932474	3.2	3.4
	"Melanoma of the Skin"	"25010"	"Massachusetts"	"25"	"2017"	"2017"	"Female"	"F"	80	3532606	1.7	2.3
	"Melanoma of the Skin"	"25010"	"Massachusetts"	"25"	"2017"	"2017"	"Male"	"M"	120	3330954	3.3	3.6
	"Melanoma of the Skin"	"25010"	"Massachusetts"	"25"	"2019"	"2019"	"Female"	"F"	72	3548380	1.5	2.0
	"Melanoma of the Skin"	"25010"	"Massachusetts"	"25"	"2019"	"2019"	"Male"	"M"	118	3346503	3.2	3.5
	"Melanoma of the Skin"	"25010"	"Michigan"	"26"	"2017"	"2017"	"Female"	"F"	82	5064544	1.2	1.6
	"Melanoma of the Skin"	"25010"	"Michigan"	"26"	"2017"	"2017"	"Male"	"M"	175	4912208	3.1	3.6
	"Melanoma of the Skin"	"25010"	"Michigan"	"26"	"2019"	"2019"	"Female"	"F"	94	5066743	1.4	1.9
	"Melanoma of the Skin"	"25010"	"Michigan"	"26"	"2019"	"2019"	"Male"	"M"	183	4918052	3.2	3.7
	"Melanoma of the Skin"	"25010"	"Minnesota"	"27"	"2017"	"2017"	"Female"	"F"	50	2796520	1.4	1.8
	"Melanoma of the Skin"	"25010"	"Minnesota"	"27"	"2017"	"2017"	"Male"	"M"	72	2772763	2.4	2.6
	"Melanoma of the Skin"	"25010"	"Minnesota"	"27"	"2019"	"2019"	"Female"	"F"	67	2830663	1.7	2.4
	"Melanoma of the Skin"	"25010"	"Minnesota"	"27"	"2019"	"2019"	"Male"	"M"	97	2809390	3.1	3.5
	"Melanoma of the Skin"	"25010"	"Mississippi"	"28"	"2017"	"2017"	"Female"	"F"	20	1539672	1.0	1.3
	"Melanoma of the Skin"	"25010"	"Mississippi"	"28"	"2017"	"2017"	"Male"	"M"	48	1451002	3.2	3.3
	"Melanoma of the Skin"	"25010"	"Mississippi"	"28"	"2019"	"2019"	"Female"	"F"	18	1534587	0.8	1.2
	"Melanoma of the Skin"	"25010"	"Mississippi"	"28"	"2019"	"2019"	"Male"	"M"	54	1443640	3.4	3.7
	"Melanoma of the Skin"	"25010"	"Missouri"	"29"	"2017"	"2017"	"Female"	"F"	48	3111381	1.2	1.5
	"Melanoma of the Skin"	"25010"	"Missouri"	"29"	"2017"	"2017"	"Male"	"M"	126	3000001	3.7	4.2
	"Melanoma of the Skin"	"25010"	"Missouri"	"29"	"2019"	"2019"	"Female"	"F"	68	3127846	1.6	2.2
	"Melanoma of the Skin"	"25010"	"Missouri"	"29"	"2019"	"2019"	"Male"	"M"	127	3012629	3.7	4.2
	"Melanoma of the Skin"	"25010"	"Montana"	"30"	"2017"	"2017"	"Male"	"M"	22	530462	3.4	4.1
	"Melanoma of the Skin"	"25010"	"Montana"	"30"	"2019"	"2019"	"Male"	"M"	18	538637	2.7	3.3
	"Melanoma of the Skin"	"25010"	"Nebraska"	"31"	"2017"	"2017"	"Male"	"M"	37	956576	3.7	3.9
	"Melanoma of the Skin"	"25010"	"Nebraska"	"31"	"2019"	"2019"	"Female"	"F"	19	967601	1.5	2.0
	"Melanoma of the Skin"	"25010"	"Nebraska"	"31"	"2019"	"2019"	"Male"	"M"	37	964970	3.6	3.8
	"Melanoma of the Skin"	"25010"	"Nevada"	"32"	"2017"	"2017"	"Female"	"F"	19	1480860	1.2	1.3
	"Melanoma of the Skin"	"25010"	"Nevada"	"32"	"2017"	"2017"	"Male"	"M"	63	1491237	4.1	4.2
	"Melanoma of the Skin"	"25010"	"Nevada"	"32"	"2019"	"2019"	"Female"	"F"	18	1541266	0.9	1.2
	"Melanoma of the Skin"	"25010"	"Nevada"	"32"	"2019"	"2019"	"Male"	"M"	51	1549505	3.2	3.3
	"Melanoma of the Skin"	"25010"	"New Hampshire"	"33"	"2017"	"2017"	"Female"	"F"	20	681670	2.3	2.9
	"Melanoma of the Skin"	"25010"	"New Hampshire"	"33"	"2017"	"2017"	"Male"	"M"	34	668725	4.6	5.1
	"Melanoma of the Skin"	"25010"	"New Hampshire"	"33"	"2019"	"2019"	"Male"	"M"	35	673969	4.4	5.2
	"Melanoma of the Skin"	"25010"	"New Jersey"	"34"	"2017"	"2017"	"Female"	"F"	83	4547537	1.3	1.8
	"Melanoma of the Skin"	"25010"	"New Jersey"	"34"	"2017"	"2017"	"Male"	"M"	127	4340610	2.7	2.9
	"Melanoma of the Skin"	"25010"	"New Jersey"	"34"	"2019"	"2019"	"Female"	"F"	72	4545698	1.1	1.6
	"Melanoma of the Skin"	"25010"	"New Jersey"	"34"	"2019"	"2019"	"Male"	"M"	121	4345560	2.5	2.8
	"Melanoma of the Skin"	"25010"	"New Mexico"	"35"	"2017"	"2017"	"Male"	"M"	35	1036090	3.1	3.4
	"Melanoma of the Skin"	"25010"	"New Mexico"	"35"	"2019"	"2019"	"Female"	"F"	21	1060654	1.3	2.0
	"Melanoma of the Skin"	"25010"	"New Mexico"	"35"	"2019"	"2019"	"Male"	"M"	31	1038980	2.6	3.0
	"Melanoma of the Skin"	"25010"	"New York"	"36"	"2017"	"2017"	"Female"	"F"	147	10080806	1.0	1.5
	"Melanoma of the Skin"	"25010"	"New York"	"36"	"2017"	"2017"	"Male"	"M"	254	9513043	2.5	2.7
	"Melanoma of the Skin"	"25010"	"New York"	"36"	"2019"	"2019"	"Female"	"F"	132	10012065	0.9	1.3
