"Notes"	"Cancer Sites"	"Cancer Sites Code"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Age-Adjusted Rate	Age-Adjusted Rate Lower 95% Confidence Interval	Age-Adjusted Rate Upper 95% Confidence Interval	Age-Adjusted Rate Standard Error
	"Uterus, NOS"	"27030"	"New Mexico"	"35"	"2019"	"2019"	26	1060654	1.7	1.1	2.5	0.3
	"Uterus, NOS"	"27030"	"New York"	"36"	"2017"	"2017"	404	10080806	2.9	2.6	3.2	0.1
	"Uterus, NOS"	"27030"	"New York"	"36"	"2019"	"2019"	428	10012065	3.0	2.7	3.3	0.2
	"Uterus, NOS"	"27030"	"North Carolina"	"37"	"2017"	"2017"	143	5274812	2.0	1.7	2.3	0.2
	"Uterus, NOS"	"27030"	"North Carolina"	"37"	"2019"	"2019"	127	5393755	1.7	1.4	2.0	0.2
	"Uterus, NOS"	"27030"	"Ohio"	"39"	"2017"	"2017"	181	5949075	2.2	1.9	2.6	0.2
	"Uterus, NOS"	"27030"	"Ohio"	"39"	"2019"	"2019"	164	5962634	1.9	1.6	2.3	0.2
	"Uterus, NOS"	"27030"	"Oklahoma"	"40"	"2017"	"2017"	60	1984912	2.4	1.8	3.1	0.3
	"Uterus, NOS"	"27030"	"Oklahoma"	"40"	"2019"	"2019"	41	1999160	1.5	1.1	2.0	0.2
	"Uterus, NOS"	"27030"	"Oregon"	"41"	"2017"	"2017"	56	2091485	2.0	1.5	2.7	0.3
	"Uterus, NOS"	"27030"	"Oregon"	"41"	"2019"	"2019"	48	2126006	1.6	1.2	2.2	0.2
	"Uterus, NOS"	"27030"	"Pennsylvania"	"42"	"2017"	"2017"	253	6528507	2.6	2.2	2.9	0.2
	"Uterus, NOS"	"27030"	"Pennsylvania"	"42"	"2019"	"2019"	233	6526489	2.3	2.0	2.6	0.2
	"Uterus, NOS"	"27030"	"Rhode Island"	"44"	"2017"	"2017"	17	542884	2.0	1.2	3.4	0.5
	"Uterus, NOS"	"27030"	"South Carolina"	"45"	"2017"	"2017"	79	2588374	2.3	1.8	2.9	0.3
	"Uterus, NOS"	"27030"	"South Carolina"	"45"	"2019"	"2019"	62	2659704	1.6	1.2	2.1	0.2
	"Uterus, NOS"	"27030"	"Tennessee"	"47"	"2017"	"2017"	97	3438006	2.0	1.6	2.4	0.2
	"Uterus, NOS"	"27030"	"Tennessee"	"47"	"2019"	"2019"	102	3498429	2.2	1.8	2.7	0.2
	"Uterus, NOS"	"27030"	"Texas"	"48"	"2017"	"2017"	336	14238026	2.2	1.9	2.4	0.1
	"Uterus, NOS"	"27030"	"Texas"	"48"	"2019"	"2019"	352	14591903	2.2	2.0	2.4	0.1
	"Uterus, NOS"	"27030"	"Utah"	"49"	"2017"	"2017"	30	1540562	2.1	1.4	3.0	0.4
	"Uterus, NOS"	"27030"	"Utah"	"49"	"2019"	"2019"	31	1589845	2.1	1.4	3.0	0.4
	"Uterus, NOS"	"27030"	"Virginia"	"51"	"2017"	"2017"	111	4302531	2.0	1.6	2.4	0.2
	"Uterus, NOS"	"27030"	"Virginia"	"51"	"2019"	"2019"	95	4345858	1.7	1.4	2.1	0.2
	"Uterus, NOS"	"27030"	"Washington"	"53"	"2017"	"2017"	86	3712553	1.8	1.5	2.3	0.2
	"Uterus, NOS"	"27030"	"Washington"	"53"	"2019"	"2019"	80	3802546	1.6	1.3	2.0	0.2
	"Uterus, NOS"	"27030"	"West Virginia"	"54"	"2017"	"2017"	31	918498	2.2	1.5	3.2	0.4
	"Uterus, NOS"	"27030"	"West Virginia"	"54"	"2019"	"2019"	25	906103	1.6	1.0	2.5	0.3
	"Uterus, NOS"	"27030"	"Wisconsin"	"55"	"2017"	"2017"	82	2911984	2.2	1.7	2.7	0.3
	"Uterus, NOS"	"27030"	"Wisconsin"	"55"	"2019"	"2019"	86	2925732	2.1	1.6	2.6	0.2
	"Ovary"	"27040"	"Alabama"	"01"	"2017"	"2017"	233	2517486	6.8	6.0	7.8	0.5
	"Ovary"	"27040"	"Alabama"	"01"	"2019"	"2019"	220	2536133	6.3	5.5	7.2	0.4
	"Ovary"	"27040"	"Alaska"	"02"	"2017"	"2017"	17	353997	4.4	2.5	7.3	1.2
	"Ovary"	"27040"	"Alaska"	"02"	"2019"	"2019"	19	350790	5.2	3.1	8.2	1.2
	"Ovary"	"27040"	"Arizona"	"04"	"2017"	"2017"	311	3545316	6.6	5.9	7.4	0.4
	"Ovary"	"27040"	"Arizona"	"04"	"2019"	"2019"	305	3669041	6.0	5.3	6.7	0.4
	"Ovary"	"27040"	"Arkansas"	"05"	"2017"	"2017"	155	1527948	7.7	6.5	9.0	0.6
	"Ovary"	"27040"	"Arkansas"	"05"	"2019"	"2019"	108	1538076	5.3	4.3	6.4	0.5
	"Ovary"	"27040"	"California"	"06"	"2017"	"2017"	1635	19783962	6.8	6.5	7.2	0.2
	"Ovary"	"27040"	"California"	"06"	"2019"	"2019"	1523	19829085	6.2	5.9	6.5	0.2
	"Ovary"	"27040"	"Colorado"	"08"	"2017"	"2017"	192	2789649	5.9	5.1	6.8	0.4
	"Ovary"	"27040"	"Colorado"	"08"	"2019"	"2019"	216	2857610	6.2	5.4	7.1	0.4
	"Ovary"	"27040"	"Connecticut"	"09"	"2017"	"2017"	155	1831503	5.8	4.9	6.8	0.5
	"Ovary"	"27040"	"Connecticut"	"09"	"2019"	"2019"	160	1826990	5.9	5.0	6.9	0.5
	"Ovary"	"27040"	"Delaware"	"10"	"2017"	"2017"	46	494606	6.3	4.6	8.5	0.9
	"Ovary"	"27040"	"Delaware"	"10"	"2019"	"2019"	43	504571	5.7	4.1	7.9	0.9
	"Ovary"	"27040"	"District of Columbia"	"11"	"2017"	"2017"	24	366336	6.3	4.0	9.5	1.3
	"Ovary"	"27040"	"District of Columbia"	"11"	"2019"	"2019"	26	372393	6.8	4.4	10.1	1.4
	"Ovary"	"27040"	"Florida"	"12"	"2017"	"2017"	1022	10720663	6.2	5.8	6.6	0.2
	"Ovary"	"27040"	"Florida"	"12"	"2019"	"2019"	1054	10987074	6.0	5.7	6.4	0.2
	"Ovary"	"27040"	"Georgia"	"13"	"2017"	"2017"	388	5349075	6.3	5.7	7.0	0.3
	"Ovary"	"27040"	"Georgia"	"13"	"2019"	"2019"	433	5462335	6.6	6.0	7.2	0.3
	"Ovary"	"27040"	"Hawaii"	"15"	"2017"	"2017"	43	710227	4.2	3.0	5.8	0.7
	"Ovary"	"27040"	"Hawaii"	"15"	"2019"	"2019"	49	706419	4.4	3.2	6.0	0.6
	"Ovary"	"27040"	"Idaho"	"16"	"2017"	"2017"	68	858030	6.3	4.8	8.0	0.8
	"Ovary"	"27040"	"Idaho"	"16"	"2019"	"2019"	65	891995	5.8	4.4	7.4	0.7
	"Ovary"	"27040"	"Illinois"	"17"	"2017"	"2017"	597	6501339	7.1	6.6	7.8	0.3
	"Ovary"	"27040"	"Illinois"	"17"	"2019"	"2019"	556	6443120	6.3	5.8	6.9	0.3
	"Ovary"	"27040"	"Indiana"	"18"	"2017"	"2017"	308	3378096	7.0	6.3	7.9	0.4
	"Ovary"	"27040"	"Indiana"	"18"	"2019"	"2019"	230	3411571	5.1	4.4	5.8	0.3
	"Ovary"	"27040"	"Iowa"	"19"	"2017"	"2017"	159	1579862	7.2	6.1	8.5	0.6
	"Ovary"	"27040"	"Iowa"	"19"	"2019"	"2019"	149	1586636	6.6	5.5	7.8	0.6
	"Ovary"	"27040"	"Kansas"	"20"	"2017"	"2017"	139	1460476	7.1	6.0	8.5	0.6
	"Ovary"	"27040"	"Kansas"	"20"	"2019"	"2019"	126	1462080	6.4	5.3	7.7	0.6
	"Ovary"	"27040"	"Kentucky"	"21"	"2017"	"2017"	171	2260311	5.9	5.0	6.9	0.5
	"Ovary"	"27040"	"Kentucky"	"21"	"2019"	"2019"	165	2269036	5.3	4.5	6.3	0.4
	"Ovary"	"27040"	"Louisiana"	"22"	"2017"	"2017"	181	2390634	6.0	5.2	7.0	0.5
	"Ovary"	"27040"	"Louisiana"	"22"	"2019"	"2019"	165	2385969	5.4	4.5	6.3	0.4
	"Ovary"	"27040"	"Maine"	"23"	"2017"	"2017"	82	681559	7.5	5.9	9.4	0.9
	"Ovary"	"27040"	"Maine"	"23"	"2019"	"2019"	59	686674	5.2	3.9	6.9	0.7
	"Ovary"	"27040"	"Maryland"	"24"	"2017"	"2017"	245	3106751	6.1	5.4	7.0	0.4
	"Ovary"	"27040"	"Maryland"	"24"	"2019"	"2019"	249	3122480	5.8	5.1	6.6	0.4
	"Ovary"	"27040"	"Massachusetts"	"25"	"2017"	"2017"	337	3532606	7.1	6.4	7.9	0.4
	"Ovary"	"27040"	"Massachusetts"	"25"	"2019"	"2019"	291	3548380	5.9	5.3	6.7	0.4
	"Ovary"	"27040"	"Michigan"	"26"	"2017"	"2017"	441	5064544	6.3	5.7	6.9	0.3
	"Ovary"	"27040"	"Michigan"	"26"	"2019"	"2019"	469	5066743	6.4	5.8	7.0	0.3
	"Ovary"	"27040"	"Minnesota"	"27"	"2017"	"2017"	217	2796520	5.8	5.1	6.7	0.4
	"Ovary"	"27040"	"Minnesota"	"27"	"2019"	"2019"	234	2830663	6.3	5.5	7.2	0.4
	"Ovary"	"27040"	"Mississippi"	"28"	"2017"	"2017"	141	1539672	7.0	5.9	8.3	0.6
	"Ovary"	"27040"	"Mississippi"	"28"	"2019"	"2019"	106	1534587	5.0	4.1	6.1	0.5
	"Ovary"	"27040"	"Missouri"	"29"	"2017"	"2017"	252	3111381	6.0	5.3	6.8	0.4
	"Ovary"	"27040"	"Missouri"	"29"	"2019"	"2019"	257	3127846	5.9	5.2	6.7	0.4
	"Ovary"	"27040"	"Montana"	"30"	"2017"	"2017"	45	523400	6.1	4.4	8.3	0.9
	"Ovary"	"27040"	"Montana"	"30"	"2019"	"2019"	50	531486	6.2	4.5	8.3	0.9
	"Ovary"	"27040"	"Nebraska"	"31"	"2017"	"2017"	89	960422	7.3	5.8	9.1	0.8
	"Ovary"	"27040"	"Nebraska"	"31"	"2019"	"2019"	58	967601	4.5	3.4	5.8	0.6
	"Ovary"	"27040"	"Nevada"	"32"	"2017"	"2017"	130	1480860	7.2	6.0	8.6	0.6
	"Ovary"	"27040"	"Nevada"	"32"	"2019"	"2019"	119	1541266	6.2	5.1	7.4	0.6
	"Ovary"	"27040"	"New Hampshire"	"33"	"2017"	"2017"	72	681670	7.4	5.7	9.4	0.9
	"Ovary"	"27040"	"New Hampshire"	"33"	"2019"	"2019"	46	686814	4.3	3.1	5.9	0.7
	"Ovary"	"27040"	"New Jersey"	"34"	"2017"	"2017"	418	4547537	6.7	6.1	7.4	0.3
	"Ovary"	"27040"	"New Jersey"	"34"	"2019"	"2019"	366	4545698	5.7	5.1	6.3	0.3
	"Ovary"	"27040"	"New Mexico"	"35"	"2017"	"2017"	97	1056754	6.8	5.4	8.3	0.7
	"Ovary"	"27040"	"New Mexico"	"35"	"2019"	"2019"	83	1060654	5.5	4.3	6.9	0.6
	"Ovary"	"27040"	"New York"	"36"	"2017"	"2017"	890	10080806	6.5	6.1	7.0	0.2
	"Ovary"	"27040"	"New York"	"36"	"2019"	"2019"	872	10012065	6.2	5.8	6.6	0.2
	"Ovary"	"27040"	"North Carolina"	"37"	"2017"	"2017"	440	5274812	6.3	5.7	7.0	0.3
	"Ovary"	"27040"	"North Carolina"	"37"	"2019"	"2019"	382	5393755	5.3	4.7	5.8	0.3
	"Ovary"	"27040"	"North Dakota"	"38"	"2017"	"2017"	26	369032	5.3	3.4	8.0	1.1
	"Ovary"	"27040"	"North Dakota"	"38"	"2019"	"2019"	18	372678	3.6	2.1	5.9	0.9
	"Ovary"	"27040"	"Ohio"	"39"	"2017"	"2017"	547	5949075	6.5	6.0	7.1	0.3
	"Ovary"	"27040"	"Ohio"	"39"	"2019"	"2019"	505	5962634	6.0	5.4	6.5	0.3
	"Ovary"	"27040"	"Oklahoma"	"40"	"2017"	"2017"	204	1984912	8.1	7.0	9.4	0.6
	"Ovary"	"27040"	"Oklahoma"	"40"	"2019"	"2019"	189	1999160	7.6	6.5	8.8	0.6
	"Ovary"	"27040"	"Oregon"	"41"	"2017"	"2017"	238	2091485	8.4	7.3	9.6	0.6
	"Ovary"	"27040"	"Oregon"	"41"	"2019"	"2019"	202	2126006	6.7	5.8	7.7	0.5
	"Ovary"	"27040"	"Pennsylvania"	"42"	"2017"	"2017"	678	6528507	7.0	6.5	7.6	0.3
	"Ovary"	"27040"	"Pennsylvania"	"42"	"2019"	"2019"	656	6526489	6.7	6.2	7.3	0.3
	"Ovary"	"27040"	"Rhode Island"	"44"	"2017"	"2017"	55	542884	7.1	5.3	9.4	1.0
	"Ovary"	"27040"	"Rhode Island"	"44"	"2019"	"2019"	49	543197	5.9	4.3	7.9	0.9
	"Ovary"	"27040"	"South Carolina"	"45"	"2017"	"2017"	188	2588374	5.4	4.6	6.3	0.4
	"Ovary"	"27040"	"South Carolina"	"45"	"2019"	"2019"	190	2659704	5.1	4.4	5.9	0.4
	"Ovary"	"27040"	"South Dakota"	"46"	"2017"	"2017"	51	432891	9.5	7.0	12.7	1.4
	"Ovary"	"27040"	"South Dakota"	"46"	"2019"	"2019"	35	439553	5.8	3.9	8.2	1.0
	"Ovary"	"27040"	"Tennessee"	"47"	"2017"	"2017"	321	3438006	7.0	6.2	7.8	0.4
	"Ovary"	"27040"	"Tennessee"	"47"	"2019"	"2019"	286	3498429	6.1	5.4	6.8	0.4
	"Ovary"	"27040"	"Texas"	"48"	"2017"	"2017"	927	14238026	6.1	5.7	6.5	0.2
	"Ovary"	"27040"	"Texas"	"48"	"2019"	"2019"	919	14591903	5.7	5.4	6.1	0.2
	"Ovary"	"27040"	"Utah"	"49"	"2017"	"2017"	101	1540562	7.3	5.9	8.8	0.7
	"Ovary"	"27040"	"Utah"	"49"	"2019"	"2019"	93	1589845	6.1	4.9	7.5	0.6
	"Ovary"	"27040"	"Vermont"	"50"	"2017"	"2017"	28	316438	6.3	4.1	9.4	1.2
	"Ovary"	"27040"	"Vermont"	"50"	"2019"	"2019"	23	315738	4.7	2.9	7.5	1.0
	"Ovary"	"27040"	"Virginia"	"51"	"2017"	"2017"	392	4302531	7.1	6.4	7.9	0.4
	"Ovary"	"27040"	"Virginia"	"51"	"2019"	"2019"	355	4345858	6.3	5.6	7.0	0.3
	"Ovary"	"27040"	"Washington"	"53"	"2017"	"2017"	311	3712553	6.8	6.0	7.6	0.4
	"Ovary"	"27040"	"Washington"	"53"	"2019"	"2019"	306	3802546	6.3	5.6	7.1	0.4
	"Ovary"	"27040"	"West Virginia"	"54"	"2017"	"2017"	97	918498	7.1	5.7	8.8	0.7
	"Ovary"	"27040"	"West Virginia"	"54"	"2019"	"2019"	90	906103	6.4	5.1	7.9	0.7
	"Ovary"	"27040"	"Wisconsin"	"55"	"2017"	"2017"	258	2911984	6.4	5.6	7.2	0.4
	"Ovary"	"27040"	"Wisconsin"	"55"	"2019"	"2019"	250	2925732	6.0	5.3	6.9	0.4
	"Ovary"	"27040"	"Wyoming"	"56"	"2017"	"2017"	31	284115	8.3	5.5	12.0	1.5
	"Ovary"	"27040"	"Wyoming"	"56"	"2019"	"2019"	26	284406	6.8	4.3	10.2	1.4
	"Vagina"	"27050"	"Alabama"	"01"	"2019"	"2019"	17	2536133	0.5	0.3	0.9	0.1
	"Vagina"	"27050"	"California"	"06"	"2017"	"2017"	46	19783962	0.2	0.1	0.3	0.0
	"Vagina"	"27050"	"California"	"06"	"2019"	"2019"	47	19829085	0.2	0.1	0.3	0.0
	"Vagina"	"27050"	"Florida"	"12"	"2017"	"2017"	20	10720663	0.1	0.1	0.2	0.0
	"Vagina"	"27050"	"Florida"	"12"	"2019"	"2019"	25	10987074	0.1	0.1	0.2	0.0
	"Vagina"	"27050"	"Illinois"	"17"	"2019"	"2019"	18	6443120	0.2	0.1	0.3	0.0
	"Vagina"	"27050"	"Michigan"	"26"	"2017"	"2017"	20	5064544	0.3	0.2	0.4	0.1
	"Vagina"	"27050"	"Michigan"	"26"	"2019"	"2019"	16	5066743	0.2	0.1	0.4	0.1
	"Vagina"	"27050"	"New York"	"36"	"2017"	"2017"	24	10080806	0.2	0.1	0.2	0.0
	"Vagina"	"27050"	"New York"	"36"	"2019"	"2019"	20	10012065	0.1	0.1	0.2	0.0
	"Vagina"	"27050"	"North Carolina"	"37"	"2017"	"2017"	19	5274812	0.2	0.1	0.4	0.1
	"Vagina"	"27050"	"Ohio"	"39"	"2017"	"2017"	26	5949075	0.3	0.2	0.5	0.1
	"Vagina"	"27050"	"Ohio"	"39"	"2019"	"2019"	16	5962634	0.2	0.1	0.3	0.0
	"Vagina"	"27050"	"Pennsylvania"	"42"	"2017"	"2017"	21	6528507	0.2	0.1	0.3	0.0
	"Vagina"	"27050"	"Pennsylvania"	"42"	"2019"	"2019"	20	6526489	0.2	0.1	0.3	0.0
	"Vagina"	"27050"	"Texas"	"48"	"2017"	"2017"	28	14238026	0.2	0.1	0.3	0.0
	"Vagina"	"27050"	"Texas"	"48"	"2019"	"2019"	30	14591903	0.2	0.1	0.3	0.0
	"Vagina"	"27050"	"Virginia"	"51"	"2019"	"2019"	16	4345858	0.3	0.2	0.5	0.1
	"Vulva"	"27060"	"Alabama"	"01"	"2017"	"2017"	21	2517486	0.6	0.4	0.9	0.1
	"Vulva"	"27060"	"Alabama"	"01"	"2019"	"2019"	23	2536133	0.7	0.4	1.0	0.1
	"Vulva"	"27060"	"Arizona"	"04"	"2017"	"2017"	17	3545316	0.3	0.2	0.6	0.1
	"Vulva"	"27060"	"Arizona"	"04"	"2019"	"2019"	22	3669041	0.4	0.2	0.6	0.1
	"Vulva"	"27060"	"California"	"06"	"2017"	"2017"	117	19783962	0.5	0.4	0.6	0.0
	"Vulva"	"27060"	"California"	"06"	"2019"	"2019"	121	19829085	0.5	0.4	0.6	0.0
	"Vulva"	"27060"	"Colorado"	"08"	"2017"	"2017"	20	2789649	0.6	0.4	0.9	0.1
	"Vulva"	"27060"	"Colorado"	"08"	"2019"	"2019"	23	2857610	0.7	0.4	1.1	0.1
	"Vulva"	"27060"	"Connecticut"	"09"	"2017"	"2017"	19	1831503	0.6	0.4	1.0	0.2
	"Vulva"	"27060"	"Connecticut"	"09"	"2019"	"2019"	22	1826990	0.7	0.5	1.2	0.2
	"Vulva"	"27060"	"Florida"	"12"	"2017"	"2017"	80	10720663	0.5	0.4	0.6	0.1
	"Vulva"	"27060"	"Florida"	"12"	"2019"	"2019"	67	10987074	0.4	0.3	0.5	0.0
	"Vulva"	"27060"	"Georgia"	"13"	"2017"	"2017"	26	5349075	0.4	0.3	0.6	0.1
	"Vulva"	"27060"	"Georgia"	"13"	"2019"	"2019"	30	5462335	0.5	0.3	0.7	0.1
	"Vulva"	"27060"	"Illinois"	"17"	"2017"	"2017"	56	6501339	0.6	0.5	0.8	0.1
	"Vulva"	"27060"	"Illinois"	"17"	"2019"	"2019"	54	6443120	0.6	0.5	0.8	0.1
	"Vulva"	"27060"	"Indiana"	"18"	"2017"	"2017"	37	3378096	0.8	0.6	1.1	0.1
	"Vulva"	"27060"	"Indiana"	"18"	"2019"	"2019"	40	3411571	0.9	0.6	1.2	0.1
	"Vulva"	"27060"	"Iowa"	"19"	"2017"	"2017"	17	1579862	0.7	0.4	1.2	0.2
	"Vulva"	"27060"	"Kentucky"	"21"	"2017"	"2017"	22	2260311	0.7	0.5	1.1	0.2
	"Vulva"	"27060"	"Louisiana"	"22"	"2017"	"2017"	24	2390634	0.8	0.5	1.2	0.2
	"Vulva"	"27060"	"Louisiana"	"22"	"2019"	"2019"	19	2385969	0.6	0.4	1.0	0.1
	"Vulva"	"27060"	"Maryland"	"24"	"2017"	"2017"	16	3106751	0.4	0.2	0.7	0.1
	"Vulva"	"27060"	"Maryland"	"24"	"2019"	"2019"	30	3122480	0.7	0.5	1.0	0.1
	"Vulva"	"27060"	"Massachusetts"	"25"	"2017"	"2017"	30	3532606	0.6	0.4	0.9	0.1
	"Vulva"	"27060"	"Massachusetts"	"25"	"2019"	"2019"	36	3548380	0.7	0.5	0.9	0.1
	"Vulva"	"27060"	"Michigan"	"26"	"2017"	"2017"	45	5064544	0.6	0.4	0.8	0.1
	"Vulva"	"27060"	"Michigan"	"26"	"2019"	"2019"	41	5066743	0.6	0.4	0.8	0.1
	"Vulva"	"27060"	"Minnesota"	"27"	"2017"	"2017"	25	2796520	0.6	0.4	1.0	0.1
	"Vulva"	"27060"	"Minnesota"	"27"	"2019"	"2019"	26	2830663	0.7	0.4	1.0	0.1
	"Vulva"	"27060"	"Missouri"	"29"	"2019"	"2019"	24	3127846	0.6	0.4	0.9	0.1
	"Vulva"	"27060"	"New Jersey"	"34"	"2017"	"2017"	30	4547537	0.5	0.3	0.7	0.1
	"Vulva"	"27060"	"New Jersey"	"34"	"2019"	"2019"	41	4545698	0.6	0.4	0.8	0.1
	"Vulva"	"27060"	"New York"	"36"	"2017"	"2017"	77	10080806	0.5	0.4	0.7	0.1
	"Vulva"	"27060"	"New York"	"36"	"2019"	"2019"	84	10012065	0.6	0.4	0.7	0.1
	"Vulva"	"27060"	"North Carolina"	"37"	"2017"	"2017"	52	5274812	0.8	0.6	1.0	0.1
	"Vulva"	"27060"	"North Carolina"	"37"	"2019"	"2019"	37	5393755	0.5	0.3	0.7	0.1
	"Vulva"	"27060"	"Ohio"	"39"	"2017"	"2017"	62	5949075	0.7	0.6	1.0	0.1
	"Vulva"	"27060"	"Ohio"	"39"	"2019"	"2019"	66	5962634	0.7	0.6	1.0	0.1
	"Vulva"	"27060"	"Oklahoma"	"40"	"2017"	"2017"	17	1984912	0.7	0.4	1.1	0.2
	"Vulva"	"27060"	"Oregon"	"41"	"2019"	"2019"	20	2126006	0.6	0.4	1.0	0.1
	"Vulva"	"27060"	"Pennsylvania"	"42"	"2017"	"2017"	60	6528507	0.6	0.4	0.7	0.1
	"Vulva"	"27060"	"Pennsylvania"	"42"	"2019"	"2019"	96	6526489	0.9	0.7	1.1	0.1
	"Vulva"	"27060"	"South Carolina"	"45"	"2017"	"2017"	20	2588374	0.6	0.3	0.9	0.1
	"Vulva"	"27060"	"South Carolina"	"45"	"2019"	"2019"	28	2659704	0.8	0.5	1.1	0.1
	"Vulva"	"27060"	"Tennessee"	"47"	"2017"	"2017"	37	3438006	0.8	0.6	1.1	0.1
	"Vulva"	"27060"	"Tennessee"	"47"	"2019"	"2019"	29	3498429	0.6	0.4	0.9	0.1
	"Vulva"	"27060"	"Texas"	"48"	"2017"	"2017"	80	14238026	0.5	0.4	0.7	0.1
	"Vulva"	"27060"	"Texas"	"48"	"2019"	"2019"	88	14591903	0.6	0.4	0.7	0.1
	"Vulva"	"27060"	"Virginia"	"51"	"2017"	"2017"	27	4302531	0.5	0.3	0.7	0.1
	"Vulva"	"27060"	"Virginia"	"51"	"2019"	"2019"	37	4345858	0.6	0.4	0.9	0.1
	"Vulva"	"27060"	"Washington"	"53"	"2017"	"2017"	23	3712553	0.5	0.3	0.7	0.1
	"Vulva"	"27060"	"Washington"	"53"	"2019"	"2019"	31	3802546	0.6	0.4	0.9	0.1
	"Vulva"	"27060"	"Wisconsin"	"55"	"2017"	"2017"	33	2911984	0.7	0.5	1.1	0.1
	"Vulva"	"27060"	"Wisconsin"	"55"	"2019"	"2019"	30	2925732	0.7	0.5	1.1	0.1
	"Other Female Genital Organs"	"27070"	"Arizona"	"04"	"2019"	"2019"	26	3669041	0.5	0.3	0.8	0.1
	"Other Female Genital Organs"	"27070"	"California"	"06"	"2017"	"2017"	72	19783962	0.3	0.2	0.4	0.0
	"Other Female Genital Organs"	"27070"	"California"	"06"	"2019"	"2019"	81	19829085	0.3	0.3	0.4	0.0
	"Other Female Genital Organs"	"27070"	"Colorado"	"08"	"2019"	"2019"	21	2857610	0.6	0.4	0.9	0.1
	"Other Female Genital Organs"	"27070"	"Florida"	"12"	"2017"	"2017"	54	10720663	0.3	0.2	0.4	0.0
	"Other Female Genital Organs"	"27070"	"Florida"	"12"	"2019"	"2019"	58	10987074	0.3	0.2	0.4	0.0
	"Other Female Genital Organs"	"27070"	"Georgia"	"13"	"2017"	"2017"	21	5349075	0.3	0.2	0.5	0.1
	"Other Female Genital Organs"	"27070"	"Georgia"	"13"	"2019"	"2019"	20	5462335	0.3	0.2	0.5	0.1
	"Other Female Genital Organs"	"27070"	"Illinois"	"17"	"2017"	"2017"	20	6501339	0.2	0.1	0.4	0.1
	"Other Female Genital Organs"	"27070"	"Illinois"	"17"	"2019"	"2019"	47	6443120	0.5	0.4	0.7	0.1
	"Other Female Genital Organs"	"27070"	"Indiana"	"18"	"2017"	"2017"	19	3378096	0.4	0.2	0.7	0.1
	"Other Female Genital Organs"	"27070"	"Indiana"	"18"	"2019"	"2019"	16	3411571	0.3	0.2	0.6	0.1
	"Other Female Genital Organs"	"27070"	"Iowa"	"19"	"2017"	"2017"	17	1579862	0.8	0.4	1.3	0.2
	"Other Female Genital Organs"	"27070"	"Kentucky"	"21"	"2017"	"2017"	24	2260311	0.8	0.5	1.2	0.2
	"Other Female Genital Organs"	"27070"	"Kentucky"	"21"	"2019"	"2019"	24	2269036	0.8	0.5	1.2	0.2
	"Other Female Genital Organs"	"27070"	"Maine"	"23"	"2017"	"2017"	17	681559	1.6	0.9	2.6	0.4
	"Other Female Genital Organs"	"27070"	"Maine"	"23"	"2019"	"2019"	17	686674	1.6	0.9	2.7	0.4
	"Other Female Genital Organs"	"27070"	"Maryland"	"24"	"2017"	"2017"	18	3106751	0.4	0.3	0.7	0.1
	"Other Female Genital Organs"	"27070"	"Maryland"	"24"	"2019"	"2019"	16	3122480	0.4	0.2	0.7	0.1
	"Other Female Genital Organs"	"27070"	"Massachusetts"	"25"	"2017"	"2017"	25	3532606	0.5	0.3	0.8	0.1
	"Other Female Genital Organs"	"27070"	"Massachusetts"	"25"	"2019"	"2019"	21	3548380	0.4	0.2	0.6	0.1
	"Other Female Genital Organs"	"27070"	"Michigan"	"26"	"2017"	"2017"	29	5064544	0.4	0.3	0.6	0.1
	"Other Female Genital Organs"	"27070"	"Michigan"	"26"	"2019"	"2019"	28	5066743	0.4	0.2	0.5	0.1
	"Other Female Genital Organs"	"27070"	"Minnesota"	"27"	"2017"	"2017"	41	2796520	1.1	0.8	1.6	0.2
	"Other Female Genital Organs"	"27070"	"Minnesota"	"27"	"2019"	"2019"	41	2830663	1.1	0.8	1.5	0.2
	"Other Female Genital Organs"	"27070"	"Missouri"	"29"	"2017"	"2017"	22	3111381	0.5	0.3	0.7	0.1
	"Other Female Genital Organs"	"27070"	"Missouri"	"29"	"2019"	"2019"	28	3127846	0.7	0.4	1.0	0.1
	"Other Female Genital Organs"	"27070"	"New Jersey"	"34"	"2017"	"2017"	29	4547537	0.5	0.3	0.7	0.1
	"Other Female Genital Organs"	"27070"	"New Jersey"	"34"	"2019"	"2019"	22	4545698	0.3	0.2	0.5	0.1
	"Other Female Genital Organs"	"27070"	"New York"	"36"	"2017"	"2017"	55	10080806	0.4	0.3	0.5	0.1
	"Other Female Genital Organs"	"27070"	"New York"	"36"	"2019"	"2019"	63	10012065	0.4	0.3	0.6	0.1
	"Other Female Genital Organs"	"27070"	"North Carolina"	"37"	"2017"	"2017"	32	5274812	0.5	0.3	0.7	0.1
	"Other Female Genital Organs"	"27070"	"North Carolina"	"37"	"2019"	"2019"	48	5393755	0.6	0.5	0.9	0.1
	"Other Female Genital Organs"	"27070"	"Ohio"	"39"	"2017"	"2017"	35	5949075	0.4	0.3	0.6	0.1
	"Other Female Genital Organs"	"27070"	"Ohio"	"39"	"2019"	"2019"	43	5962634	0.5	0.4	0.7	0.1
