"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Age-Adjusted Rate	Crude Rate
	"Esophagus"	"21010"	"Massachusetts"	"25"	"2017"	"2017"	391	6863560	4.4	5.7
	"Esophagus"	"21010"	"Massachusetts"	"25"	"2019"	"2019"	365	6894883	4.0	5.3
	"Esophagus"	"21010"	"Michigan"	"26"	"2017"	"2017"	579	9976752	4.4	5.8
	"Esophagus"	"21010"	"Michigan"	"26"	"2019"	"2019"	693	9984795	5.1	6.9
	"Esophagus"	"21010"	"Minnesota"	"27"	"2017"	"2017"	286	5569283	4.1	5.1
	"Esophagus"	"21010"	"Minnesota"	"27"	"2019"	"2019"	294	5640053	4.1	5.2
	"Esophagus"	"21010"	"Mississippi"	"28"	"2017"	"2017"	113	2990674	3.1	3.8
	"Esophagus"	"21010"	"Mississippi"	"28"	"2019"	"2019"	152	2978227	4.0	5.1
	"Esophagus"	"21010"	"Missouri"	"29"	"2017"	"2017"	375	6111382	4.8	6.1
	"Esophagus"	"21010"	"Missouri"	"29"	"2019"	"2019"	350	6140475	4.3	5.7
	"Esophagus"	"21010"	"Montana"	"30"	"2017"	"2017"	79	1053862	5.4	7.5
	"Esophagus"	"21010"	"Montana"	"30"	"2019"	"2019"	60	1070123	3.9	5.6
	"Esophagus"	"21010"	"Nebraska"	"31"	"2017"	"2017"	106	1916998	4.6	5.5
	"Esophagus"	"21010"	"Nebraska"	"31"	"2019"	"2019"	116	1932571	5.0	6.0
	"Esophagus"	"21010"	"Nevada"	"32"	"2017"	"2017"	135	2972097	3.6	4.5
	"Esophagus"	"21010"	"Nevada"	"32"	"2019"	"2019"	162	3090771	4.3	5.2
	"Esophagus"	"21010"	"New Hampshire"	"33"	"2017"	"2017"	109	1350395	5.9	8.1
	"Esophagus"	"21010"	"New Hampshire"	"33"	"2019"	"2019"	87	1360783	4.4	6.4
	"Esophagus"	"21010"	"New Jersey"	"34"	"2017"	"2017"	401	8888147	3.6	4.5
	"Esophagus"	"21010"	"New Jersey"	"34"	"2019"	"2019"	364	8891258	3.1	4.1
	"Esophagus"	"21010"	"New Mexico"	"35"	"2017"	"2017"	102	2092844	3.6	4.9
	"Esophagus"	"21010"	"New Mexico"	"35"	"2019"	"2019"	97	2099634	3.4	4.6
	"Esophagus"	"21010"	"New York"	"36"	"2017"	"2017"	878	19593849	3.5	4.5
	"Esophagus"	"21010"	"New York"	"36"	"2019"	"2019"	826	19463131	3.2	4.2
	"Esophagus"	"21010"	"North Carolina"	"37"	"2017"	"2017"	446	10275758	3.5	4.3
	"Esophagus"	"21010"	"North Carolina"	"37"	"2019"	"2019"	467	10501384	3.5	4.4
	"Esophagus"	"21010"	"North Dakota"	"38"	"2017"	"2017"	31	756755	3.3	4.1
	"Esophagus"	"21010"	"North Dakota"	"38"	"2019"	"2019"	43	763724	4.6	5.6
	"Esophagus"	"21010"	"Ohio"	"39"	"2017"	"2017"	723	11665706	4.7	6.2
	"Esophagus"	"21010"	"Ohio"	"39"	"2019"	"2019"	830	11696507	5.4	7.1
	"Esophagus"	"21010"	"Oklahoma"	"40"	"2017"	"2017"	186	3933602	3.9	4.7
	"Esophagus"	"21010"	"Oklahoma"	"40"	"2019"	"2019"	205	3960676	4.2	5.2
	"Esophagus"	"21010"	"Oregon"	"41"	"2017"	"2017"	248	4147294	4.6	6.0
	"Esophagus"	"21010"	"Oregon"	"41"	"2019"	"2019"	237	4216116	4.2	5.6
	"Esophagus"	"21010"	"Pennsylvania"	"42"	"2017"	"2017"	771	12794679	4.4	6.0
	"Esophagus"	"21010"	"Pennsylvania"	"42"	"2019"	"2019"	812	12798883	4.4	6.3
	"Esophagus"	"21010"	"Rhode Island"	"44"	"2017"	"2017"	50	1056554	3.5	4.7
	"Esophagus"	"21010"	"Rhode Island"	"44"	"2019"	"2019"	52	1058158	3.7	4.9
	"Esophagus"	"21010"	"South Carolina"	"45"	"2017"	"2017"	249	5027102	3.7	5.0
	"Esophagus"	"21010"	"South Carolina"	"45"	"2019"	"2019"	264	5157702	3.7	5.1
	"Esophagus"	"21010"	"South Dakota"	"46"	"2017"	"2017"	60	873732	5.8	6.9
	"Esophagus"	"21010"	"South Dakota"	"46"	"2019"	"2019"	55	887127	4.8	6.2
	"Esophagus"	"21010"	"Tennessee"	"47"	"2017"	"2017"	360	6714748	4.2	5.4
	"Esophagus"	"21010"	"Tennessee"	"47"	"2019"	"2019"	400	6830325	4.5	5.9
	"Esophagus"	"21010"	"Texas"	"48"	"2017"	"2017"	845	28291024	3.0	3.0
	"Esophagus"	"21010"	"Texas"	"48"	"2019"	"2019"	988	28986794	3.3	3.4
	"Esophagus"	"21010"	"Utah"	"49"	"2017"	"2017"	80	3103540	2.9	2.6
	"Esophagus"	"21010"	"Utah"	"49"	"2019"	"2019"	81	3203383	2.8	2.5
	"Esophagus"	"21010"	"Vermont"	"50"	"2017"	"2017"	49	625132	5.4	7.8
	"Esophagus"	"21010"	"Vermont"	"50"	"2019"	"2019"	54	624046	5.6	8.7
	"Esophagus"	"21010"	"Virginia"	"51"	"2017"	"2017"	393	8471011	3.9	4.6
	"Esophagus"	"21010"	"Virginia"	"51"	"2019"	"2019"	422	8556642	3.9	4.9
	"Esophagus"	"21010"	"Washington"	"53"	"2017"	"2017"	361	7427951	4.1	4.9
	"Esophagus"	"21010"	"Washington"	"53"	"2019"	"2019"	371	7614024	4.0	4.9
	"Esophagus"	"21010"	"West Virginia"	"54"	"2017"	"2017"	136	1818683	5.1	7.5
	"Esophagus"	"21010"	"West Virginia"	"54"	"2019"	"2019"	144	1795263	5.3	8.0
	"Esophagus"	"21010"	"Wisconsin"	"55"	"2017"	"2017"	330	5793147	4.4	5.7
	"Esophagus"	"21010"	"Wisconsin"	"55"	"2019"	"2019"	359	5824581	4.6	6.2
	"Esophagus"	"21010"	"Wyoming"	"56"	"2017"	"2017"	23	579994	3.0	4.0
	"Esophagus"	"21010"	"Wyoming"	"56"	"2019"	"2019"	32	580116	4.4	5.5
	"Gallbladder"	"21080"	"Alabama"	"01"	"2017"	"2017"	35	4877989	0.6	0.7
	"Gallbladder"	"21080"	"Alabama"	"01"	"2019"	"2019"	25	4907965	0.4	0.5
	"Gallbladder"	"21080"	"Arizona"	"04"	"2017"	"2017"	39	7048088	0.4	0.6
	"Gallbladder"	"21080"	"Arizona"	"04"	"2019"	"2019"	48	7291843	0.5	0.7
	"Gallbladder"	"21080"	"Arkansas"	"05"	"2017"	"2017"	17	3003855	0.5	0.6
	"Gallbladder"	"21080"	"Arkansas"	"05"	"2019"	"2019"	22	3020985	0.5	0.7
	"Gallbladder"	"21080"	"California"	"06"	"2017"	"2017"	296	39337785	0.7	0.8
	"Gallbladder"	"21080"	"California"	"06"	"2019"	"2019"	274	39437610	0.6	0.7
	"Gallbladder"	"21080"	"Colorado"	"08"	"2017"	"2017"	32	5617421	0.5	0.6
	"Gallbladder"	"21080"	"Colorado"	"08"	"2019"	"2019"	21	5758486	0.3	0.4
	"Gallbladder"	"21080"	"Connecticut"	"09"	"2017"	"2017"	16	3575324	0.3	0.4
	"Gallbladder"	"21080"	"Connecticut"	"09"	"2019"	"2019"	19	3566022	0.4	0.5
	"Gallbladder"	"21080"	"Florida"	"12"	"2017"	"2017"	150	20977089	0.5	0.7
	"Gallbladder"	"21080"	"Florida"	"12"	"2019"	"2019"	128	21492056	0.4	0.6
	"Gallbladder"	"21080"	"Georgia"	"13"	"2017"	"2017"	60	10417031	0.6	0.6
	"Gallbladder"	"21080"	"Georgia"	"13"	"2019"	"2019"	66	10628020	0.5	0.6
	"Gallbladder"	"21080"	"Illinois"	"17"	"2017"	"2017"	108	12779893	0.7	0.8
	"Gallbladder"	"21080"	"Illinois"	"17"	"2019"	"2019"	96	12667017	0.6	0.8
	"Gallbladder"	"21080"	"Indiana"	"18"	"2017"	"2017"	51	6662068	0.6	0.8
	"Gallbladder"	"21080"	"Indiana"	"18"	"2019"	"2019"	45	6731010	0.6	0.7
	"Gallbladder"	"21080"	"Iowa"	"19"	"2017"	"2017"	25	3143734	0.6	0.8
	"Gallbladder"	"21080"	"Iowa"	"19"	"2019"	"2019"	27	3159596	0.6	0.9
	"Gallbladder"	"21080"	"Kentucky"	"21"	"2017"	"2017"	25	4455590	0.5	0.6
	"Gallbladder"	"21080"	"Kentucky"	"21"	"2019"	"2019"	18	4472345	0.3	0.4
	"Gallbladder"	"21080"	"Louisiana"	"22"	"2017"	"2017"	32	4673673	0.6	0.7
	"Gallbladder"	"21080"	"Louisiana"	"22"	"2019"	"2019"	41	4658285	0.7	0.9
	"Gallbladder"	"21080"	"Maryland"	"24"	"2017"	"2017"	34	6028186	0.5	0.6
	"Gallbladder"	"21080"	"Maryland"	"24"	"2019"	"2019"	31	6054954	0.4	0.5
	"Gallbladder"	"21080"	"Massachusetts"	"25"	"2017"	"2017"	64	6863560	0.8	0.9
	"Gallbladder"	"21080"	"Massachusetts"	"25"	"2019"	"2019"	57	6894883	0.6	0.8
	"Gallbladder"	"21080"	"Michigan"	"26"	"2017"	"2017"	39	9976752	0.3	0.4
	"Gallbladder"	"21080"	"Michigan"	"26"	"2019"	"2019"	71	9984795	0.5	0.7
	"Gallbladder"	"21080"	"Minnesota"	"27"	"2017"	"2017"	32	5569283	0.5	0.6
	"Gallbladder"	"21080"	"Minnesota"	"27"	"2019"	"2019"	33	5640053	0.4	0.6
	"Gallbladder"	"21080"	"Mississippi"	"28"	"2017"	"2017"	21	2990674	0.6	0.7
	"Gallbladder"	"21080"	"Missouri"	"29"	"2017"	"2017"	41	6111382	0.5	0.7
	"Gallbladder"	"21080"	"Missouri"	"29"	"2019"	"2019"	45	6140475	0.6	0.7
	"Gallbladder"	"21080"	"Nebraska"	"31"	"2017"	"2017"	21	1916998	1.0	1.1
	"Gallbladder"	"21080"	"New Hampshire"	"33"	"2017"	"2017"	17	1350395	0.9	1.3
	"Gallbladder"	"21080"	"New Jersey"	"34"	"2017"	"2017"	58	8888147	0.5	0.7
	"Gallbladder"	"21080"	"New Jersey"	"34"	"2019"	"2019"	43	8891258	0.4	0.5
	"Gallbladder"	"21080"	"New Mexico"	"35"	"2017"	"2017"	17	2092844	0.7	0.8
	"Gallbladder"	"21080"	"New York"	"36"	"2017"	"2017"	170	19593849	0.7	0.9
	"Gallbladder"	"21080"	"New York"	"36"	"2019"	"2019"	174	19463131	0.7	0.9
	"Gallbladder"	"21080"	"North Carolina"	"37"	"2017"	"2017"	86	10275758	0.7	0.8
	"Gallbladder"	"21080"	"North Carolina"	"37"	"2019"	"2019"	70	10501384	0.5	0.7
	"Gallbladder"	"21080"	"Ohio"	"39"	"2017"	"2017"	81	11665706	0.5	0.7
	"Gallbladder"	"21080"	"Ohio"	"39"	"2019"	"2019"	82	11696507	0.5	0.7
	"Gallbladder"	"21080"	"Oklahoma"	"40"	"2017"	"2017"	21	3933602	0.5	0.5
	"Gallbladder"	"21080"	"Oklahoma"	"40"	"2019"	"2019"	17	3960676	0.3	0.4
	"Gallbladder"	"21080"	"Oregon"	"41"	"2017"	"2017"	22	4147294	0.4	0.5
	"Gallbladder"	"21080"	"Oregon"	"41"	"2019"	"2019"	37	4216116	0.7	0.9
	"Gallbladder"	"21080"	"Pennsylvania"	"42"	"2017"	"2017"	95	12794679	0.5	0.7
	"Gallbladder"	"21080"	"Pennsylvania"	"42"	"2019"	"2019"	89	12798883	0.5	0.7
	"Gallbladder"	"21080"	"South Carolina"	"45"	"2017"	"2017"	32	5027102	0.5	0.6
	"Gallbladder"	"21080"	"South Carolina"	"45"	"2019"	"2019"	26	5157702	0.4	0.5
	"Gallbladder"	"21080"	"Tennessee"	"47"	"2017"	"2017"	38	6714748	0.5	0.6
	"Gallbladder"	"21080"	"Tennessee"	"47"	"2019"	"2019"	33	6830325	0.4	0.5
	"Gallbladder"	"21080"	"Texas"	"48"	"2017"	"2017"	157	28291024	0.6	0.6
	"Gallbladder"	"21080"	"Texas"	"48"	"2019"	"2019"	190	28986794	0.6	0.7
	"Gallbladder"	"21080"	"Virginia"	"51"	"2017"	"2017"	62	8471011	0.6	0.7
	"Gallbladder"	"21080"	"Virginia"	"51"	"2019"	"2019"	59	8556642	0.6	0.7
	"Gallbladder"	"21080"	"Washington"	"53"	"2017"	"2017"	49	7427951	0.6	0.7
	"Gallbladder"	"21080"	"Washington"	"53"	"2019"	"2019"	49	7614024	0.5	0.6
	"Gallbladder"	"21080"	"Wisconsin"	"55"	"2017"	"2017"	38	5793147	0.5	0.7
	"Gallbladder"	"21080"	"Wisconsin"	"55"	"2019"	"2019"	38	5824581	0.5	0.7
	"Kidney and Renal Pelvis"	"29020"	"Alabama"	"01"	"2017"	"2017"	239	4877989	3.8	4.9
	"Kidney and Renal Pelvis"	"29020"	"Alabama"	"01"	"2019"	"2019"	222	4907965	3.4	4.5
	"Kidney and Renal Pelvis"	"29020"	"Alaska"	"02"	"2017"	"2017"	22	740983	3.7	3.0
	"Kidney and Renal Pelvis"	"29020"	"Alaska"	"02"	"2019"	"2019"	22	733603	3.3	3.0
	"Kidney and Renal Pelvis"	"29020"	"Arizona"	"04"	"2017"	"2017"	327	7048088	3.7	4.6
	"Kidney and Renal Pelvis"	"29020"	"Arizona"	"04"	"2019"	"2019"	308	7291843	3.3	4.2
	"Kidney and Renal Pelvis"	"29020"	"Arkansas"	"05"	"2017"	"2017"	177	3003855	4.7	5.9
	"Kidney and Renal Pelvis"	"29020"	"Arkansas"	"05"	"2019"	"2019"	176	3020985	4.4	5.8
	"Kidney and Renal Pelvis"	"29020"	"California"	"06"	"2017"	"2017"	1420	39337785	3.3	3.6
	"Kidney and Renal Pelvis"	"29020"	"California"	"06"	"2019"	"2019"	1384	39437610	3.0	3.5
	"Kidney and Renal Pelvis"	"29020"	"Colorado"	"08"	"2017"	"2017"	162	5617421	2.7	2.9
	"Kidney and Renal Pelvis"	"29020"	"Colorado"	"08"	"2019"	"2019"	179	5758486	2.8	3.1
	"Kidney and Renal Pelvis"	"29020"	"Connecticut"	"09"	"2017"	"2017"	146	3575324	3.2	4.1
	"Kidney and Renal Pelvis"	"29020"	"Connecticut"	"09"	"2019"	"2019"	119	3566022	2.4	3.3
	"Kidney and Renal Pelvis"	"29020"	"Delaware"	"10"	"2017"	"2017"	46	957942	3.6	4.8
	"Kidney and Renal Pelvis"	"29020"	"Delaware"	"10"	"2019"	"2019"	46	976668	3.3	4.7
	"Kidney and Renal Pelvis"	"29020"	"Florida"	"12"	"2017"	"2017"	966	20977089	3.1	4.6
	"Kidney and Renal Pelvis"	"29020"	"Florida"	"12"	"2019"	"2019"	987	21492056	3.0	4.6
	"Kidney and Renal Pelvis"	"29020"	"Georgia"	"13"	"2017"	"2017"	402	10417031	3.6	3.9
	"Kidney and Renal Pelvis"	"29020"	"Georgia"	"13"	"2019"	"2019"	404	10628020	3.5	3.8
	"Kidney and Renal Pelvis"	"29020"	"Hawaii"	"15"	"2017"	"2017"	44	1425763	2.4	3.1
	"Kidney and Renal Pelvis"	"29020"	"Hawaii"	"15"	"2019"	"2019"	53	1415615	2.6	3.7
	"Kidney and Renal Pelvis"	"29020"	"Idaho"	"16"	"2017"	"2017"	83	1719745	4.2	4.8
	"Kidney and Renal Pelvis"	"29020"	"Idaho"	"16"	"2019"	"2019"	65	1789060	3.0	3.6
	"Kidney and Renal Pelvis"	"29020"	"Illinois"	"17"	"2017"	"2017"	548	12779893	3.6	4.3
	"Kidney and Renal Pelvis"	"29020"	"Illinois"	"17"	"2019"	"2019"	547	12667017	3.5	4.3
	"Kidney and Renal Pelvis"	"29020"	"Indiana"	"18"	"2017"	"2017"	336	6662068	4.3	5.0
	"Kidney and Renal Pelvis"	"29020"	"Indiana"	"18"	"2019"	"2019"	294	6731010	3.6	4.4
	"Kidney and Renal Pelvis"	"29020"	"Iowa"	"19"	"2017"	"2017"	181	3143734	4.4	5.8
	"Kidney and Renal Pelvis"	"29020"	"Iowa"	"19"	"2019"	"2019"	163	3159596	3.8	5.2
	"Kidney and Renal Pelvis"	"29020"	"Kansas"	"20"	"2017"	"2017"	156	2910892	4.6	5.4
	"Kidney and Renal Pelvis"	"29020"	"Kansas"	"20"	"2019"	"2019"	134	2912635	3.6	4.6
	"Kidney and Renal Pelvis"	"29020"	"Kentucky"	"21"	"2017"	"2017"	230	4455590	4.2	5.2
	"Kidney and Renal Pelvis"	"29020"	"Kentucky"	"21"	"2019"	"2019"	254	4472345	4.5	5.7
	"Kidney and Renal Pelvis"	"29020"	"Louisiana"	"22"	"2017"	"2017"	250	4673673	4.5	5.3
	"Kidney and Renal Pelvis"	"29020"	"Louisiana"	"22"	"2019"	"2019"	255	4658285	4.5	5.5
	"Kidney and Renal Pelvis"	"29020"	"Maine"	"23"	"2017"	"2017"	70	1335743	3.5	5.2
	"Kidney and Renal Pelvis"	"29020"	"Maine"	"23"	"2019"	"2019"	66	1345770	3.2	4.9
	"Kidney and Renal Pelvis"	"29020"	"Maryland"	"24"	"2017"	"2017"	212	6028186	3.0	3.5
	"Kidney and Renal Pelvis"	"29020"	"Maryland"	"24"	"2019"	"2019"	252	6054954	3.4	4.2
	"Kidney and Renal Pelvis"	"29020"	"Massachusetts"	"25"	"2017"	"2017"	244	6863560	2.8	3.6
	"Kidney and Renal Pelvis"	"29020"	"Massachusetts"	"25"	"2019"	"2019"	241	6894883	2.7	3.5
	"Kidney and Renal Pelvis"	"29020"	"Michigan"	"26"	"2017"	"2017"	468	9976752	3.7	4.7
	"Kidney and Renal Pelvis"	"29020"	"Michigan"	"26"	"2019"	"2019"	478	9984795	3.5	4.8
	"Kidney and Renal Pelvis"	"29020"	"Minnesota"	"27"	"2017"	"2017"	234	5569283	3.4	4.2
	"Kidney and Renal Pelvis"	"29020"	"Minnesota"	"27"	"2019"	"2019"	276	5640053	3.9	4.9
	"Kidney and Renal Pelvis"	"29020"	"Mississippi"	"28"	"2017"	"2017"	160	2990674	4.4	5.3
	"Kidney and Renal Pelvis"	"29020"	"Mississippi"	"28"	"2019"	"2019"	166	2978227	4.5	5.6
	"Kidney and Renal Pelvis"	"29020"	"Missouri"	"29"	"2017"	"2017"	339	6111382	4.4	5.5
	"Kidney and Renal Pelvis"	"29020"	"Missouri"	"29"	"2019"	"2019"	304	6140475	3.8	5.0
	"Kidney and Renal Pelvis"	"29020"	"Montana"	"30"	"2017"	"2017"	49	1053862	3.3	4.6
	"Kidney and Renal Pelvis"	"29020"	"Montana"	"30"	"2019"	"2019"	64	1070123	4.3	6.0
	"Kidney and Renal Pelvis"	"29020"	"Nebraska"	"31"	"2017"	"2017"	111	1916998	4.8	5.8
	"Kidney and Renal Pelvis"	"29020"	"Nebraska"	"31"	"2019"	"2019"	104	1932571	4.4	5.4
	"Kidney and Renal Pelvis"	"29020"	"Nevada"	"32"	"2017"	"2017"	120	2972097	3.6	4.0
	"Kidney and Renal Pelvis"	"29020"	"Nevada"	"32"	"2019"	"2019"	119	3090771	3.2	3.9
	"Kidney and Renal Pelvis"	"29020"	"New Hampshire"	"33"	"2017"	"2017"	58	1350395	3.2	4.3
	"Kidney and Renal Pelvis"	"29020"	"New Hampshire"	"33"	"2019"	"2019"	64	1360783	3.3	4.7
	"Kidney and Renal Pelvis"	"29020"	"New Jersey"	"34"	"2017"	"2017"	322	8888147	2.8	3.6
	"Kidney and Renal Pelvis"	"29020"	"New Jersey"	"34"	"2019"	"2019"	306	8891258	2.7	3.4
	"Kidney and Renal Pelvis"	"29020"	"New Mexico"	"35"	"2017"	"2017"	96	2092844	3.6	4.6
	"Kidney and Renal Pelvis"	"29020"	"New Mexico"	"35"	"2019"	"2019"	121	2099634	4.5	5.8
	"Kidney and Renal Pelvis"	"29020"	"New York"	"36"	"2017"	"2017"	678	19593849	2.8	3.5
	"Kidney and Renal Pelvis"	"29020"	"New York"	"36"	"2019"	"2019"	642	19463131	2.5	3.3
	"Kidney and Renal Pelvis"	"29020"	"North Carolina"	"37"	"2017"	"2017"	459	10275758	3.7	4.5
	"Kidney and Renal Pelvis"	"29020"	"North Carolina"	"37"	"2019"	"2019"	501	10501384	3.8	4.8
	"Kidney and Renal Pelvis"	"29020"	"North Dakota"	"38"	"2017"	"2017"	27	756755	3.1	3.6
	"Kidney and Renal Pelvis"	"29020"	"North Dakota"	"38"	"2019"	"2019"	27	763724	2.7	3.5
	"Kidney and Renal Pelvis"	"29020"	"Ohio"	"39"	"2017"	"2017"	598	11665706	4.0	5.1
	"Kidney and Renal Pelvis"	"29020"	"Ohio"	"39"	"2019"	"2019"	566	11696507	3.7	4.8
	"Kidney and Renal Pelvis"	"29020"	"Oklahoma"	"40"	"2017"	"2017"	229	3933602	4.8	5.8
	"Kidney and Renal Pelvis"	"29020"	"Oklahoma"	"40"	"2019"	"2019"	204	3960676	4.2	5.2
	"Kidney and Renal Pelvis"	"29020"	"Oregon"	"41"	"2017"	"2017"	190	4147294	3.6	4.6
	"Kidney and Renal Pelvis"	"29020"	"Oregon"	"41"	"2019"	"2019"	207	4216116	3.6	4.9
	"Kidney and Renal Pelvis"	"29020"	"Pennsylvania"	"42"	"2017"	"2017"	621	12794679	3.5	4.9
	"Kidney and Renal Pelvis"	"29020"	"Pennsylvania"	"42"	"2019"	"2019"	607	12798883	3.4	4.7
	"Kidney and Renal Pelvis"	"29020"	"Rhode Island"	"44"	"2017"	"2017"	50	1056554	3.7	4.7
	"Kidney and Renal Pelvis"	"29020"	"Rhode Island"	"44"	"2019"	"2019"	41	1058158	2.8	3.9
	"Kidney and Renal Pelvis"	"29020"	"South Carolina"	"45"	"2017"	"2017"	210	5027102	3.3	4.2
	"Kidney and Renal Pelvis"	"29020"	"South Carolina"	"45"	"2019"	"2019"	249	5157702	3.6	4.8
	"Kidney and Renal Pelvis"	"29020"	"South Dakota"	"46"	"2017"	"2017"	43	873732	3.9	4.9
	"Kidney and Renal Pelvis"	"29020"	"South Dakota"	"46"	"2019"	"2019"	64	887127	5.3	7.2
	"Kidney and Renal Pelvis"	"29020"	"Tennessee"	"47"	"2017"	"2017"	338	6714748	4.1	5.0
	"Kidney and Renal Pelvis"	"29020"	"Tennessee"	"47"	"2019"	"2019"	329	6830325	3.9	4.8
	"Kidney and Renal Pelvis"	"29020"	"Texas"	"48"	"2017"	"2017"	1133	28291024	4.0	4.0
	"Kidney and Renal Pelvis"	"29020"	"Texas"	"48"	"2019"	"2019"	1169	28986794	4.0	4.0
	"Kidney and Renal Pelvis"	"29020"	"Utah"	"49"	"2017"	"2017"	79	3103540	3.0	2.5
	"Kidney and Renal Pelvis"	"29020"	"Utah"	"49"	"2019"	"2019"	80	3203383	2.9	2.5
	"Kidney and Renal Pelvis"	"29020"	"Vermont"	"50"	"2017"	"2017"	37	625132	4.4	5.9
	"Kidney and Renal Pelvis"	"29020"	"Vermont"	"50"	"2019"	"2019"	38	624046	3.8	6.1
	"Kidney and Renal Pelvis"	"29020"	"Virginia"	"51"	"2017"	"2017"	312	8471011	3.1	3.7
	"Kidney and Renal Pelvis"	"29020"	"Virginia"	"51"	"2019"	"2019"	361	8556642	3.4	4.2
	"Kidney and Renal Pelvis"	"29020"	"Washington"	"53"	"2017"	"2017"	285	7427951	3.3	3.8
	"Kidney and Renal Pelvis"	"29020"	"Washington"	"53"	"2019"	"2019"	311	7614024	3.5	4.1
	"Kidney and Renal Pelvis"	"29020"	"West Virginia"	"54"	"2017"	"2017"	115	1818683	4.5	6.3
	"Kidney and Renal Pelvis"	"29020"	"West Virginia"	"54"	"2019"	"2019"	115	1795263	4.4	6.4
	"Kidney and Renal Pelvis"	"29020"	"Wisconsin"	"55"	"2017"	"2017"	285	5793147	3.9	4.9
	"Kidney and Renal Pelvis"	"29020"	"Wisconsin"	"55"	"2019"	"2019"	289	5824581	3.7	5.0
	"Kidney and Renal Pelvis"	"29020"	"Wyoming"	"56"	"2017"	"2017"	37	579994	5.2	6.4
	"Kidney and Renal Pelvis"	"29020"	"Wyoming"	"56"	"2019"	"2019"	34	580116	4.3	5.9
	"Larynx"	"22020"	"Alabama"	"01"	"2017"	"2017"	75	4877989	1.1	1.5
	"Larynx"	"22020"	"Alabama"	"01"	"2019"	"2019"	78	4907965	1.2	1.6
	"Larynx"	"22020"	"Arizona"	"04"	"2017"	"2017"	70	7048088	0.7	1.0
	"Larynx"	"22020"	"Arizona"	"04"	"2019"	"2019"	57	7291843	0.6	0.8
	"Larynx"	"22020"	"Arkansas"	"05"	"2017"	"2017"	48	3003855	1.2	1.6
	"Larynx"	"22020"	"Arkansas"	"05"	"2019"	"2019"	45	3020985	1.1	1.5
	"Larynx"	"22020"	"California"	"06"	"2017"	"2017"	249	39337785	0.6	0.6
	"Larynx"	"22020"	"California"	"06"	"2019"	"2019"	284	39437610	0.6	0.7
	"Larynx"	"22020"	"Colorado"	"08"	"2017"	"2017"	35	5617421	0.6	0.6
	"Larynx"	"22020"	"Colorado"	"08"	"2019"	"2019"	34	5758486	0.5	0.6
	"Larynx"	"22020"	"Connecticut"	"09"	"2017"	"2017"	40	3575324	0.9	1.1
	"Larynx"	"22020"	"Connecticut"	"09"	"2019"	"2019"	28	3566022	0.6	0.8
	"Larynx"	"22020"	"Delaware"	"10"	"2019"	"2019"	17	976668	1.1	1.7
	"Larynx"	"22020"	"Florida"	"12"	"2017"	"2017"	355	20977089	1.2	1.7
	"Larynx"	"22020"	"Florida"	"12"	"2019"	"2019"	332	21492056	1.0	1.5
	"Larynx"	"22020"	"Georgia"	"13"	"2017"	"2017"	122	10417031	1.1	1.2
	"Larynx"	"22020"	"Georgia"	"13"	"2019"	"2019"	125	10628020	1.0	1.2
	"Larynx"	"22020"	"Illinois"	"17"	"2017"	"2017"	152	12779893	1.0	1.2
	"Larynx"	"22020"	"Illinois"	"17"	"2019"	"2019"	179	12667017	1.1	1.4
	"Larynx"	"22020"	"Indiana"	"18"	"2017"	"2017"	79	6662068	1.0	1.2
	"Larynx"	"22020"	"Indiana"	"18"	"2019"	"2019"	85	6731010	1.0	1.3
	"Larynx"	"22020"	"Iowa"	"19"	"2017"	"2017"	42	3143734	1.0	1.3
	"Larynx"	"22020"	"Iowa"	"19"	"2019"	"2019"	36	3159596	0.9	1.1
	"Larynx"	"22020"	"Kansas"	"20"	"2017"	"2017"	20	2910892	0.6	0.7
	"Larynx"	"22020"	"Kansas"	"20"	"2019"	"2019"	34	2912635	0.9	1.2
	"Larynx"	"22020"	"Kentucky"	"21"	"2017"	"2017"	81	4455590	1.4	1.8
	"Larynx"	"22020"	"Kentucky"	"21"	"2019"	"2019"	75	4472345	1.3	1.7
	"Larynx"	"22020"	"Louisiana"	"22"	"2017"	"2017"	68	4673673	1.2	1.5
	"Larynx"	"22020"	"Louisiana"	"22"	"2019"	"2019"	78	4658285	1.3	1.7
	"Larynx"	"22020"	"Maine"	"23"	"2017"	"2017"	25	1335743	1.3	1.9
	"Larynx"	"22020"	"Maryland"	"24"	"2017"	"2017"	58	6028186	0.8	1.0
	"Larynx"	"22020"	"Maryland"	"24"	"2019"	"2019"	77	6054954	1.0	1.3
	"Larynx"	"22020"	"Massachusetts"	"25"	"2017"	"2017"	70	6863560	0.8	1.0
	"Larynx"	"22020"	"Massachusetts"	"25"	"2019"	"2019"	64	6894883	0.7	0.9
	"Larynx"	"22020"	"Michigan"	"26"	"2017"	"2017"	159	9976752	1.2	1.6
	"Larynx"	"22020"	"Michigan"	"26"	"2019"	"2019"	136	9984795	1.0	1.4
	"Larynx"	"22020"	"Minnesota"	"27"	"2017"	"2017"	37	5569283	0.5	0.7
	"Larynx"	"22020"	"Minnesota"	"27"	"2019"	"2019"	54	5640053	0.7	1.0
	"Larynx"	"22020"	"Mississippi"	"28"	"2017"	"2017"	47	2990674	1.3	1.6
